compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,2,1100,1250,2100,1417.69,320.4,4.24,1378.83,4.25,1055.82,4.77,422.789,2.315,3.872
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,1,425,550,1050,667.81,206.8,2.74,628.96,2.74,348.21,3.03,139.436,1.288,1.678
clang++ 22.1,64,clflush,main,use,vptr_map,om ref,1,675,750,1175,792.77,150.6,2.00,753.91,2.00,473.17,2.38,189.473,1.544,2.280
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,2,675,750,1600,894.75,310.4,4.11,855.89,4.11,532.88,4.65,213.384,1.437,1.954
clang++ 22.1,64,clflush,main,use,vptr_map,om ref,2,925,1000,1825,1167.56,302.2,4.00,1128.71,4.01,805.69,4.56,322.629,1.895,2.955
clang++ 22.1,64,clflush,main,use,flat_map,om vptr,1,425,525,1250,671.68,295.0,3.91,632.83,3.91,352.08,4.12,140.987,1.296,1.697
clang++ 22.1,64,clflush,main,use,flat_map,om ref,1,700,825,1700,968.50,334.4,4.43,929.64,4.43,648.90,4.61,259.843,1.904,3.127
clang++ 22.1,64,clflush,main,use,flat_map,om vptr,2,675,725,975,769.65,119.0,1.58,730.79,1.59,407.78,2.69,163.290,1.227,1.495
clang++ 22.1,64,clflush,main,use,flat_map,om ref,2,925,1000,1750,1147.55,274.3,3.63,1108.70,3.64,785.68,4.24,314.617,1.861,2.881
clang++ 22.1,64,clflush,main,use,indirect,om vptr,1,475,525,950,568.25,134.7,1.78,529.39,1.79,248.64,2.20,99.566,1.084,1.198
clang++ 22.1,64,clflush,main,use,indirect,om ref,1,925,1250,2050,1365.95,293.9,3.89,1327.10,3.90,1046.35,4.10,418.997,2.718,5.042
clang++ 22.1,64,clflush,main,use,indirect,om vptr,2,700,775,1525,908.33,270.4,3.58,869.47,3.59,546.46,4.19,218.823,1.460,2.004
clang++ 22.1,64,clflush,main,use,indirect,om ref,2,1325,1525,2275,1669.34,329.7,4.37,1630.48,4.37,1307.47,4.88,523.559,2.737,4.795
clang++ 22.1,64,clflush,inplace,use,yardstick,vf,1,425,525,1100,588.99,191.1,2.53,550.13,2.54,308.93,2.80,123.709,1.000,1.000
clang++ 22.1,64,clflush,inplace,use,yardstick,vf+vf,2,425,525,1250,622.25,245.2,3.25,583.39,3.25,287.92,3.99,115.292,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,use,yardstick,vf,1,400,500,1050,569.46,173.6,2.30,530.61,2.31,290.74,2.58,116.422,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,use,yardstick,vf+vf,2,425,725,1475,769.42,314.0,4.16,730.57,4.16,430.54,4.78,172.404,1.000,1.000
clang++ 22.1,64,clflush,inplace,use,inplace,om ref,1,450,525,1325,638.32,266.2,3.53,599.46,3.53,358.26,3.72,143.462,1.090,1.160
clang++ 22.1,64,clflush,inplace,use,inplace,om ref,2,650,800,1300,883.77,188.5,2.50,844.91,2.50,549.44,3.41,220.015,1.448,1.908
clang++ 22.1,64,clflush,inplace_ind,use,inplace_ind,om ref,1,675,775,1325,843.84,195.2,2.59,804.98,2.59,565.11,2.84,226.292,1.517,1.944
clang++ 22.1,64,clflush,inplace_ind,use,inplace_ind,om ref,2,750,1025,1750,1137.37,267.1,3.54,1098.51,3.54,798.49,4.25,319.743,1.504,1.855
