compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 18.1,64,warm,main,-,baseline,probe,0,25,50,50,41.40,11.9,0.16,0.00,0.22,-1.75,0.22,-0.715,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,direct,0,25,50,50,43.16,11.1,0.15,1.75,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,touch,1,25,50,50,43.18,11.1,0.15,1.78,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,touch+touch,2,25,50,50,43.12,11.2,0.15,1.72,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,const,yardstick,vf,1,25,50,50,47.81,7.1,0.09,6.40,0.18,4.62,0.17,1.883,1.000,1.000
clang++ 18.1,64,warm,main,const,yardstick,vf+vf,2,25,50,75,60.72,12.5,0.17,19.32,0.23,17.60,0.22,7.167,1.000,1.000
clang++ 18.1,64,warm,main,const,vptr_vector,om vptr,1,25,50,50,49.11,4.6,0.06,7.71,0.17,5.95,0.16,2.424,1.203,1.287
clang++ 18.1,64,warm,main,const,vptr_vector,om ref,1,50,50,75,54.53,9.6,0.13,13.12,0.20,11.34,0.19,4.619,2.049,2.454
clang++ 18.1,64,warm,main,const,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,8.60,0.16,6.84,0.15,2.787,0.445,0.389
clang++ 18.1,64,warm,main,const,vptr_vector,om ref,2,50,50,75,56.79,11.1,0.15,15.38,0.22,13.66,0.21,5.564,0.796,0.776
clang++ 18.1,64,warm,main,const,vptr_map,om vptr,1,25,50,50,48.65,5.6,0.07,7.25,0.17,5.50,0.17,2.238,1.132,1.189
clang++ 18.1,64,warm,main,const,vptr_map,om ref,1,50,75,75,63.44,12.5,0.17,22.04,0.23,20.26,0.22,8.251,3.442,4.382
clang++ 18.1,64,warm,main,const,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,8.60,0.16,6.84,0.15,2.787,0.445,0.389
clang++ 18.1,64,warm,main,const,vptr_map,om ref,2,50,75,75,69.83,10.1,0.13,28.43,0.21,26.71,0.20,10.877,1.472,1.518
clang++ 18.1,64,warm,main,const,flat_map,om vptr,1,25,50,50,48.78,5.4,0.07,7.38,0.17,5.62,0.16,2.290,1.152,1.216
clang++ 18.1,64,warm,main,const,flat_map,om ref,1,50,75,75,66.51,11.8,0.16,25.11,0.22,23.32,0.22,9.500,3.921,5.046
clang++ 18.1,64,warm,main,const,flat_map,om vptr,2,50,50,50,50.00,0.0,0.00,8.60,0.16,6.84,0.15,2.787,0.445,0.389
clang++ 18.1,64,warm,main,const,flat_map,om ref,2,50,75,75,71.29,8.9,0.12,29.89,0.20,28.17,0.19,11.474,1.547,1.601
clang++ 18.1,64,warm,main,const,indirect,om vptr,1,25,50,50,49.39,3.9,0.05,7.99,0.17,6.23,0.16,2.538,1.247,1.348
clang++ 18.1,64,warm,main,const,indirect,om ref,1,50,50,75,56.90,11.2,0.15,15.50,0.22,13.72,0.21,5.588,2.421,2.968
clang++ 18.1,64,warm,main,const,indirect,om vptr,2,50,50,50,51.02,4.9,0.07,9.61,0.17,7.86,0.16,3.201,0.498,0.447
clang++ 18.1,64,warm,main,const,indirect,om ref,2,50,50,75,58.64,11.9,0.16,17.24,0.22,15.52,0.22,6.320,0.892,0.882
clang++ 18.1,64,warm,inplace,-,baseline,touch,1,25,50,50,43.00,11.2,0.15,1.60,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace,-,baseline,touch+touch,2,25,50,50,42.63,11.4,0.15,1.23,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace,const,yardstick,vf,1,25,50,50,48.00,6.8,0.09,6.60,0.18,5.00,0.17,2.036,1.000,1.000
clang++ 18.1,64,warm,inplace,const,yardstick,vf+vf,2,25,50,75,58.67,12.1,0.16,17.27,0.22,16.04,0.22,6.533,1.000,1.000
clang++ 18.1,64,warm,inplace,const,inplace,om ref,1,25,50,50,48.59,5.8,0.08,7.19,0.17,5.59,0.17,2.276,1.089,1.118
clang++ 18.1,64,warm,inplace,const,inplace,om ref,2,50,50,50,50.00,0.0,0.00,8.60,0.16,7.37,0.15,3.001,0.498,0.459
clang++ 18.1,64,warm,inplace_ind,-,baseline,touch,1,25,50,50,42.89,11.3,0.15,1.49,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace_ind,-,baseline,touch+touch,2,25,50,50,42.96,11.2,0.15,1.56,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace_ind,const,yardstick,vf,1,25,50,50,48.26,6.4,0.08,6.86,0.18,5.36,0.17,2.185,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,const,yardstick,vf+vf,2,25,50,75,58.83,12.2,0.16,17.43,0.23,15.87,0.22,6.463,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,const,inplace_ind,om ref,1,25,50,75,51.44,5.9,0.08,10.04,0.18,8.55,0.17,3.482,1.464,1.594
clang++ 18.1,64,warm,inplace_ind,const,inplace_ind,om ref,2,50,50,50,50.86,4.5,0.06,9.45,0.17,7.89,0.16,3.215,0.542,0.498
clang++ 18.1,64,warm,main,use,yardstick,vf,1,25,50,75,52.80,11.3,0.15,11.39,0.22,9.61,0.21,3.916,1.000,1.000
clang++ 18.1,64,warm,main,use,yardstick,vf+vf,2,25,75,75,64.60,12.4,0.16,23.19,0.23,21.47,0.22,8.746,1.000,1.000
clang++ 18.1,64,warm,main,use,vptr_vector,om vptr,1,25,50,75,56.34,11.6,0.15,14.94,0.22,13.16,0.21,5.359,1.311,1.369
