compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 15.2,64,clflush,main,-,baseline,probe,0,40,44,46,43.55,1.7,0.02,0.00,0.03,-2.64,0.03,-1.325,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,direct,0,42,46,50,46.20,1.9,0.03,2.64,0.03,0.00,0.04,0.000,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,touch,1,194,252,286,245.23,25.6,0.34,201.68,0.34,0.00,0.48,0.000,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,touch+touch,2,204,262,336,265.19,34.7,0.46,221.64,0.46,0.00,0.65,0.000,0.000,0.000
g++ 15.2,64,clflush,main,const,yardstick,vf,1,362,448,534,452.22,46.5,0.62,408.67,0.62,206.99,0.70,103.663,1.000,1.000
g++ 15.2,64,clflush,main,const,yardstick,vf+vf,2,366,470,626,481.79,64.1,0.85,438.23,0.85,216.59,0.97,108.473,1.000,1.000
g++ 15.2,64,clflush,main,const,vptr_vector,om vptr,1,448,554,636,555.10,43.0,0.57,511.55,0.57,508.90,0.57,254.866,1.252,2.459
g++ 15.2,64,clflush,main,const,vptr_vector,om ref,1,920,1074,1300,1099.72,83.9,1.11,1056.16,1.11,854.49,1.16,427.939,2.584,4.128
g++ 15.2,64,clflush,main,const,vptr_vector,om vptr,2,738,828,1068,855.24,87.8,1.16,811.69,1.16,809.04,1.16,405.179,1.852,3.735
g++ 15.2,64,clflush,main,const,vptr_vector,om ref,2,1216,1374,1700,1417.02,130.5,1.73,1373.47,1.73,1151.83,1.79,576.851,3.134,5.318
g++ 15.2,64,clflush,main,const,vptr_map,om vptr,1,444,556,648,565.95,40.9,0.54,522.40,0.54,519.75,0.54,260.300,1.278,2.511
g++ 15.2,64,clflush,main,const,vptr_map,om ref,1,728,842,1034,862.52,74.3,0.98,818.96,0.98,617.29,1.04,309.146,2.004,2.982
g++ 15.2,64,clflush,main,const,vptr_map,om vptr,2,632,768,958,772.48,87.8,1.16,728.92,1.16,726.28,1.16,363.730,1.663,3.353
g++ 15.2,64,clflush,main,const,vptr_map,om ref,2,888,1122,1374,1145.20,106.6,1.41,1101.65,1.41,880.01,1.48,440.720,2.514,4.063
g++ 15.2,64,clflush,main,const,flat_map,om vptr,1,450,532,604,526.29,44.0,0.58,482.73,0.58,480.09,0.58,240.436,1.181,2.319
g++ 15.2,64,clflush,main,const,flat_map,om ref,1,724,854,1062,875.08,83.1,1.10,831.53,1.10,629.85,1.15,315.437,2.035,3.043
g++ 15.2,64,clflush,main,const,flat_map,om vptr,2,714,876,1106,894.71,105.1,1.39,851.16,1.39,848.52,1.39,424.949,1.942,3.918
g++ 15.2,64,clflush,main,const,flat_map,om ref,2,994,1164,1448,1197.38,117.3,1.55,1153.82,1.55,932.18,1.62,466.851,2.633,4.304
g++ 15.2,64,clflush,main,const,indirect,om vptr,1,518,594,780,612.04,70.4,0.93,568.49,0.93,565.84,0.93,283.381,1.391,2.734
g++ 15.2,64,clflush,main,const,indirect,om ref,1,1100,1414,1720,1448.62,126.4,1.67,1405.06,1.67,1203.39,1.71,602.673,3.438,5.814
g++ 15.2,64,clflush,main,const,indirect,om vptr,2,798,904,1186,939.12,111.8,1.48,895.57,1.48,892.92,1.48,447.188,2.044,4.123
g++ 15.2,64,clflush,main,const,indirect,om ref,2,1394,1660,1928,1655.61,143.3,1.90,1612.06,1.90,1390.42,1.95,696.342,3.679,6.419
g++ 15.2,64,clflush,inplace,-,baseline,touch,1,216,284,356,286.62,35.9,0.48,243.07,0.48,0.00,0.67,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace,-,baseline,touch+touch,2,224,292,414,305.38,48.6,0.64,261.83,0.64,0.00,0.91,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace,const,yardstick,vf,1,414,580,732,593.92,68.2,0.90,550.36,0.90,307.29,1.02,153.896,1.000,1.000
g++ 15.2,64,clflush,inplace,const,yardstick,vf+vf,2,502,684,872,693.73,89.2,1.18,650.18,1.18,388.36,1.35,194.494,1.000,1.000
g++ 15.2,64,clflush,inplace,const,inplace,om ref,1,540,692,890,707.59,87.8,1.16,664.04,1.16,420.97,1.26,210.828,1.207,1.370
g++ 15.2,64,clflush,inplace,const,inplace,om ref,2,730,938,1184,942.05,129.5,1.72,898.49,1.72,636.67,1.83,318.853,1.382,1.639
g++ 15.2,64,clflush,inplace_ind,-,baseline,touch,1,222,284,360,283.49,36.9,0.49,239.94,0.49,0.00,0.69,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace_ind,-,baseline,touch+touch,2,230,290,352,292.00,33.0,0.44,248.45,0.44,0.00,0.62,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace_ind,const,yardstick,vf,1,400,526,622,527.03,51.9,0.69,483.48,0.69,243.54,0.84,121.970,1.000,1.000
