compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,64,warm,main,-,baseline,probe,0,25,50,50,38.77,12.4,0.16,0.00,0.23,-2.79,0.23,-1.136,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,direct,0,25,50,50,41.56,11.8,0.16,2.79,0.23,0.00,0.22,0.000,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,touch,1,25,50,50,42.94,11.3,0.15,4.18,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,touch+touch,2,25,50,50,42.79,11.3,0.15,4.02,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,const,yardstick,vf,1,25,50,50,47.75,7.2,0.09,8.98,0.19,4.81,0.18,1.958,1.000,1.000
g++ 13.3,64,warm,main,const,yardstick,vf+vf,2,25,50,75,59.64,12.5,0.17,20.87,0.23,16.86,0.22,6.865,1.000,1.000
g++ 13.3,64,warm,main,const,vptr_vector,om vptr,1,25,50,50,48.02,6.8,0.09,9.25,0.19,6.46,0.18,2.631,1.030,1.344
g++ 13.3,64,warm,main,const,vptr_vector,om ref,1,50,50,75,53.38,8.6,0.11,14.61,0.20,10.44,0.19,4.251,1.627,2.172
g++ 13.3,64,warm,main,const,vptr_vector,om vptr,2,25,50,50,49.71,2.7,0.04,10.95,0.17,8.16,0.16,3.323,0.524,0.484
g++ 13.3,64,warm,main,const,vptr_vector,om ref,2,50,50,75,56.13,10.8,0.14,17.36,0.22,13.35,0.21,5.436,0.832,0.792
g++ 13.3,64,warm,main,const,vptr_map,om vptr,1,25,50,50,48.00,6.8,0.09,9.24,0.19,6.45,0.18,2.626,1.028,1.341
g++ 13.3,64,warm,main,const,vptr_map,om ref,1,50,75,75,63.15,12.5,0.17,24.38,0.23,20.21,0.22,8.230,2.714,4.203
g++ 13.3,64,warm,main,const,vptr_map,om vptr,2,25,50,50,49.61,3.1,0.04,10.84,0.17,8.05,0.16,3.280,0.519,0.478
g++ 13.3,64,warm,main,const,vptr_map,om ref,2,50,75,75,70.25,9.8,0.13,31.48,0.21,27.46,0.20,11.184,1.508,1.629
g++ 13.3,64,warm,main,const,flat_map,om vptr,1,25,50,50,48.14,6.6,0.09,9.38,0.19,6.59,0.18,2.683,1.044,1.370
g++ 13.3,64,warm,main,const,flat_map,om ref,1,50,75,75,63.63,12.4,0.16,24.86,0.23,20.68,0.22,8.424,2.768,4.303
g++ 13.3,64,warm,main,const,flat_map,om vptr,2,25,50,50,49.57,3.3,0.04,10.80,0.17,8.01,0.16,3.262,0.517,0.475
g++ 13.3,64,warm,main,const,flat_map,om ref,2,50,75,75,67.45,11.5,0.15,28.68,0.22,24.67,0.21,10.046,1.374,1.463
g++ 13.3,64,warm,main,const,indirect,om vptr,1,25,50,50,49.18,4.5,0.06,10.41,0.18,7.62,0.17,3.103,1.159,1.585
g++ 13.3,64,warm,main,const,indirect,om ref,1,50,50,75,56.21,10.8,0.14,17.44,0.22,13.27,0.21,5.404,1.942,2.760
g++ 13.3,64,warm,main,const,indirect,om vptr,2,50,50,50,50.31,2.8,0.04,11.54,0.17,8.75,0.16,3.564,0.553,0.519
g++ 13.3,64,warm,main,const,indirect,om ref,2,50,50,75,58.03,11.7,0.15,19.26,0.23,15.25,0.22,6.209,0.923,0.905
g++ 13.3,64,warm,inplace,-,baseline,touch,1,25,50,50,43.01,11.2,0.15,4.24,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,inplace,-,baseline,touch+touch,2,25,50,50,42.87,11.3,0.15,4.11,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,inplace,const,yardstick,vf,1,25,50,50,48.11,6.6,0.09,9.34,0.19,5.10,0.17,2.078,1.000,1.000
g++ 13.3,64,warm,inplace,const,yardstick,vf+vf,2,25,50,75,58.33,12.1,0.16,19.57,0.23,15.46,0.22,6.297,1.000,1.000
g++ 13.3,64,warm,inplace,const,inplace,om ref,1,25,50,50,48.13,6.6,0.09,9.36,0.19,5.12,0.17,2.085,1.002,1.003
g++ 13.3,64,warm,inplace,const,inplace,om ref,2,25,50,50,49.73,2.6,0.03,10.96,0.17,6.86,0.15,2.792,0.560,0.443
g++ 13.3,64,warm,inplace_ind,-,baseline,touch,1,25,50,50,42.71,11.4,0.15,3.95,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,inplace_ind,-,baseline,touch+touch,2,25,50,50,42.79,11.3,0.15,4.02,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,inplace_ind,const,yardstick,vf,1,25,50,50,47.75,7.2,0.09,8.98,0.19,5.03,0.18,2.049,1.000,1.000
g++ 13.3,64,warm,inplace_ind,const,yardstick,vf+vf,2,25,50,75,59.84,12.6,0.17,21.07,0.23,17.05,0.22,6.945,1.000,1.000
g++ 13.3,64,warm,inplace_ind,const,inplace_ind,om ref,1,25,50,50,49.98,0.7,0.01,11.21,0.16,7.27,0.15,2.960,1.249,1.445
g++ 13.3,64,warm,inplace_ind,const,inplace_ind,om ref,2,50,50,50,51.11,5.1,0.07,12.34,0.18,8.32,0.16,3.389,0.586,0.488
g++ 13.3,64,warm,main,use,yardstick,vf,1,25,50,75,54.89,11.1,0.15,16.12,0.22,11.94,0.21,4.864,1.000,1.000
g++ 13.3,64,warm,main,use,yardstick,vf+vf,2,25,50,75,60.50,12.6,0.17,21.74,0.23,17.72,0.22,7.217,1.000,1.000
g++ 13.3,64,warm,main,use,vptr_vector,om vptr,1,25,50,75,54.73,11.5,0.15,15.96,0.22,11.79,0.21,4.800,0.990,0.987
g++ 13.3,64,warm,main,use,vptr_vector,om ref,1,50,50,75,61.54,12.5,0.17,22.78,0.23,18.60,0.22,7.576,1.413,1.557
g++ 13.3,64,warm,main,use,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,11.23,0.16,7.21,0.15,2.939,0.517,0.407
g++ 13.3,64,warm,main,use,vptr_vector,om ref,2,50,50,75,56.58,11.0,0.15,17.81,0.22,13.79,0.21,5.618,0.819,0.778
g++ 13.3,64,warm,main,use,vptr_map,om vptr,1,25,50,75,54.64,11.1,0.15,15.88,0.22,11.70,0.21,4.766,0.985,0.980
g++ 13.3,64,warm,main,use,vptr_map,om ref,1,50,75,75,70.81,9.3,0.12,32.04,0.21,27.87,0.19,11.350,1.988,2.333
g++ 13.3,64,warm,main,use,vptr_map,om vptr,2,25,50,50,50.00,0.3,0.00,11.23,0.16,7.21,0.15,2.937,0.517,0.407
g++ 13.3,64,warm,main,use,vptr_map,om ref,2,50,75,75,70.48,9.6,0.13,31.71,0.21,27.70,0.20,11.281,1.459,1.563
g++ 13.3,64,warm,main,use,flat_map,om vptr,1,25,50,75,54.79,11.1,0.15,16.02,0.22,11.84,0.21,4.823,0.994,0.992
g++ 13.3,64,warm,main,use,flat_map,om ref,1,50,75,75,70.91,9.2,0.12,32.14,0.21,27.97,0.19,11.391,1.994,2.342
g++ 13.3,64,warm,main,use,flat_map,om vptr,2,50,50,50,50.00,0.0,0.00,11.23,0.16,7.21,0.15,2.939,0.517,0.407
g++ 13.3,64,warm,main,use,flat_map,om ref,2,50,75,75,68.43,11.0,0.15,29.67,0.22,25.65,0.21,10.446,1.365,1.448
g++ 13.3,64,warm,main,use,indirect,om vptr,1,25,50,75,57.22,11.4,0.15,18.46,0.22,14.28,0.21,5.816,1.145,1.196
g++ 13.3,64,warm,main,use,indirect,om ref,1,50,75,75,65.45,12.1,0.16,26.68,0.23,22.51,0.22,9.167,1.656,1.885
g++ 13.3,64,warm,main,use,indirect,om vptr,2,50,50,50,50.85,4.5,0.06,12.08,0.18,8.07,0.16,3.285,0.556,0.455
g++ 13.3,64,warm,main,use,indirect,om ref,2,50,50,75,58.61,11.9,0.16,19.85,0.23,15.83,0.22,6.447,0.913,0.893
g++ 13.3,64,warm,inplace,use,yardstick,vf,1,25,50,75,55.76,11.3,0.15,16.99,0.22,12.75,0.21,5.193,1.000,1.000
g++ 13.3,64,warm,inplace,use,yardstick,vf+vf,2,25,50,75,58.61,12.2,0.16,19.84,0.23,15.73,0.22,6.408,1.000,1.000
g++ 13.3,64,warm,inplace_ind,use,yardstick,vf,1,25,50,75,54.98,10.9,0.15,16.21,0.22,12.26,0.21,4.995,1.000,1.000
g++ 13.3,64,warm,inplace_ind,use,yardstick,vf+vf,2,25,50,75,60.01,12.6,0.17,21.25,0.23,17.23,0.22,7.017,1.000,1.000
g++ 13.3,64,warm,inplace,use,inplace,om ref,1,25,50,75,55.09,11.4,0.15,16.32,0.22,12.08,0.21,4.920,0.961,0.947
g++ 13.3,64,warm,inplace,use,inplace,om ref,2,50,50,50,50.00,0.0,0.00,11.23,0.16,7.13,0.15,2.903,0.566,0.453
g++ 13.3,64,warm,inplace_ind,use,inplace_ind,om ref,1,25,50,75,60.48,12.4,0.16,21.71,0.23,17.76,0.22,7.235,1.339,1.448
g++ 13.3,64,warm,inplace_ind,use,inplace_ind,om ref,2,50,50,75,51.87,6.6,0.09,13.10,0.19,9.08,0.17,3.699,0.617,0.527
g++ 13.3,64,clflush,main,-,baseline,probe,0,25,50,50,38.89,12.4,0.16,0.00,0.23,-3.91,0.22,-1.592,0.000,0.000
g++ 13.3,64,clflush,main,-,baseline,direct,0,25,50,50,42.80,11.3,0.15,3.91,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,clflush,main,-,baseline,touch,1,250,300,400,315.67,95.9,1.27,276.78,1.28,0.00,1.80,0.000,0.000,0.000
g++ 13.3,64,clflush,main,-,baseline,touch+touch,2,275,300,850,368.32,172.7,2.29,329.43,2.29,0.00,3.23,0.000,0.000,0.000
g++ 13.3,64,clflush,main,const,yardstick,vf,1,500,525,1100,606.21,187.1,2.48,567.32,2.48,290.54,2.79,118.330,1.000,1.000
g++ 13.3,64,clflush,main,const,yardstick,vf+vf,2,500,575,1400,699.30,276.3,3.66,660.41,3.66,330.97,4.32,134.800,1.000,1.000
g++ 13.3,64,clflush,main,const,vptr_vector,om vptr,1,500,550,1150,602.82,189.8,2.51,563.93,2.52,560.02,2.52,228.088,0.994,1.928
g++ 13.3,64,clflush,main,const,vptr_vector,om ref,1,1000,1075,1850,1234.11,286.3,3.79,1195.22,3.80,918.44,4.00,374.067,2.107,3.161
g++ 13.3,64,clflush,main,const,vptr_vector,om vptr,2,675,750,1450,843.07,230.1,3.05,804.18,3.05,800.27,3.05,325.938,1.218,2.418
g++ 13.3,64,clflush,main,const,vptr_vector,om ref,2,1125,1275,2100,1460.34,347.1,4.60,1421.45,4.60,1092.02,5.13,444.761,2.152,3.299
g++ 13.3,64,clflush,main,const,vptr_map,om vptr,1,475,500,775,529.16,118.3,1.57,490.27,1.58,486.36,1.57,198.088,0.864,1.674
g++ 13.3,64,clflush,main,const,vptr_map,om ref,1,700,750,1450,861.96,235.6,3.12,823.07,3.12,546.29,3.37,222.497,1.451,1.880
g++ 13.3,64,clflush,main,const,vptr_map,om vptr,2,675,725,1475,831.46,236.8,3.14,792.57,3.14,788.66,3.14,321.208,1.200,2.383
g++ 13.3,64,clflush,main,const,vptr_map,om ref,2,925,1025,1850,1190.07,314.1,4.16,1151.18,4.16,821.75,4.75,334.685,1.743,2.483
g++ 13.3,64,clflush,main,const,flat_map,om vptr,1,450,475,600,510.91,96.5,1.28,472.02,1.29,468.11,1.29,190.655,0.832,1.611
g++ 13.3,64,clflush,main,const,flat_map,om ref,1,700,750,1500,895.34,268.0,3.55,856.45,3.55,579.67,3.77,236.091,1.510,1.995
g++ 13.3,64,clflush,main,const,flat_map,om vptr,2,675,750,1400,825.61,216.7,2.87,786.72,2.88,782.81,2.87,318.826,1.191,2.365
g++ 13.3,64,clflush,main,const,flat_map,om ref,2,925,1050,1875,1216.52,316.8,4.20,1177.63,4.20,848.19,4.78,345.455,1.783,2.563
