compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 22.1,64,clflush,main,-,baseline,probe,0,25,50,50,38.51,12.5,0.17,0.00,0.23,-5.16,0.22,-2.048,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,direct,0,25,50,50,43.67,10.9,0.14,5.16,0.22,0.00,0.20,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch,1,225,275,300,281.24,89.5,1.19,242.73,1.20,0.00,1.68,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch+touch,2,225,300,800,343.63,163.5,2.17,305.12,2.17,0.00,3.06,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,const,yardstick,vf,1,425,500,1050,557.86,184.7,2.45,519.36,2.45,276.62,2.72,109.755,1.000,1.000
clang++ 22.1,64,clflush,main,const,yardstick,vf+vf,2,425,575,1375,723.39,289.5,3.83,684.88,3.84,379.76,4.40,150.676,1.000,1.000
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,1,425,525,975,596.85,180.5,2.39,558.34,2.40,553.18,2.39,219.483,1.075,2.000
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,1,900,1050,1750,1164.96,256.9,3.40,1126.45,3.41,883.71,3.60,350.630,2.169,3.195
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,2,650,775,1325,870.28,207.4,2.75,831.77,2.75,826.61,2.75,327.973,1.214,2.177
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,2,1100,1350,2150,1498.07,304.8,4.04,1459.56,4.04,1154.44,4.58,458.047,2.131,3.040
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,1,425,525,1075,581.84,182.2,2.41,543.33,2.42,538.17,2.42,213.529,1.046,1.946
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,1,650,775,1450,857.55,231.7,3.07,819.04,3.07,576.31,3.29,228.660,1.577,2.083
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,2,625,775,1425,891.98,255.4,3.38,853.47,3.39,848.31,3.39,336.583,1.246,2.234
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,2,850,1025,1825,1172.09,309.5,4.10,1133.58,4.10,828.46,4.64,328.707,1.655,2.182
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,1,425,450,1375,582.39,284.9,3.77,543.89,3.78,538.72,3.78,213.749,1.047,1.948
clang++ 22.1,64,clflush,main,const,flat_map,om ref,1,650,725,1425,801.27,210.1,2.78,762.76,2.79,520.03,3.02,206.332,1.469,1.880
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,2,625,775,1325,856.62,195.8,2.59,818.11,2.60,812.95,2.60,322.554,1.195,2.141
clang++ 22.1,64,clflush,main,const,flat_map,om ref,2,975,1125,1925,1295.58,321.4,4.26,1257.07,4.26,951.96,4.78,377.706,1.835,2.507
