compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 18.1,64,warm,main,-,baseline,probe,0,25,50,50,41.40,11.9,0.16,0.00,0.22,-1.57,0.22,-0.639,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,direct,0,25,50,50,42.97,11.2,0.15,1.57,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,touch,1,25,50,50,42.79,11.3,0.15,1.39,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,touch+touch,2,25,50,50,43.20,11.1,0.15,1.80,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,const,yardstick,vf,1,25,50,50,47.58,7.4,0.10,6.18,0.19,4.79,0.18,1.952,1.000,1.000
clang++ 18.1,64,warm,main,const,yardstick,vf+vf,2,25,50,75,60.39,12.4,0.16,18.99,0.23,17.19,0.22,7.001,1.000,1.000
clang++ 18.1,64,warm,main,const,vptr_vector,om vptr,1,25,50,50,48.74,5.5,0.07,7.33,0.17,5.76,0.17,2.347,1.187,1.202
clang++ 18.1,64,warm,main,const,vptr_vector,om ref,1,50,50,75,54.45,9.6,0.13,13.04,0.20,11.66,0.20,4.748,2.111,2.432
clang++ 18.1,64,warm,main,const,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,8.60,0.16,7.03,0.15,2.862,0.453,0.409
clang++ 18.1,64,warm,main,const,vptr_vector,om ref,2,50,50,75,56.39,10.9,0.14,14.99,0.21,13.19,0.21,5.371,0.789,0.767
clang++ 18.1,64,warm,main,const,vptr_map,om vptr,1,25,50,50,49.01,4.9,0.06,7.61,0.17,6.04,0.16,2.460,1.231,1.260
clang++ 18.1,64,warm,main,const,vptr_map,om ref,1,50,75,75,62.84,12.5,0.17,21.44,0.23,20.05,0.22,8.167,3.469,4.183
clang++ 18.1,64,warm,main,const,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,8.60,0.16,7.03,0.15,2.862,0.453,0.409
clang++ 18.1,64,warm,main,const,vptr_map,om ref,2,50,75,75,69.53,10.3,0.14,28.13,0.21,26.33,0.20,10.723,1.481,1.532
clang++ 18.1,64,warm,main,const,flat_map,om vptr,1,25,50,50,48.57,5.8,0.08,7.16,0.18,5.59,0.17,2.278,1.159,1.167
clang++ 18.1,64,warm,main,const,flat_map,om ref,1,50,75,75,66.84,11.7,0.16,25.43,0.22,24.05,0.22,9.794,4.116,5.016
clang++ 18.1,64,warm,main,const,flat_map,om vptr,2,50,50,50,50.00,0.0,0.00,8.60,0.16,7.03,0.15,2.862,0.453,0.409
clang++ 18.1,64,warm,main,const,flat_map,om ref,2,50,75,75,71.07,9.1,0.12,29.67,0.20,27.87,0.19,11.350,1.562,1.621
clang++ 18.1,64,warm,main,const,indirect,om vptr,1,25,50,50,49.22,4.3,0.06,7.82,0.17,6.25,0.16,2.544,1.265,1.303
clang++ 18.1,64,warm,main,const,indirect,om ref,1,50,50,75,56.75,11.1,0.15,15.35,0.22,13.96,0.21,5.688,2.484,2.913
clang++ 18.1,64,warm,main,const,indirect,om vptr,2,50,50,50,51.06,5.0,0.07,9.66,0.17,8.09,0.16,3.294,0.509,0.471
clang++ 18.1,64,warm,main,const,indirect,om ref,2,50,50,75,57.99,11.7,0.15,16.59,0.22,14.79,0.21,6.023,0.874,0.860
clang++ 18.1,64,warm,inplace,-,baseline,touch,1,25,50,50,43.05,11.2,0.15,1.65,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace,-,baseline,touch+touch,2,25,50,50,43.04,11.2,0.15,1.63,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace,const,yardstick,vf,1,25,50,50,48.11,6.6,0.09,6.71,0.18,5.06,0.17,2.061,1.000,1.000
clang++ 18.1,64,warm,inplace,const,yardstick,vf+vf,2,25,50,75,58.55,12.1,0.16,17.14,0.22,15.51,0.22,6.318,1.000,1.000
clang++ 18.1,64,warm,inplace,const,inplace,om ref,1,25,50,50,48.57,5.8,0.08,7.16,0.18,5.51,0.17,2.245,1.067,1.089
clang++ 18.1,64,warm,inplace,const,inplace,om ref,2,50,50,50,50.00,0.0,0.00,8.60,0.16,6.96,0.15,2.837,0.501,0.449
clang++ 18.1,64,warm,inplace_ind,-,baseline,touch,1,25,50,50,42.82,11.3,0.15,1.42,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace_ind,-,baseline,touch+touch,2,25,50,50,42.85,11.3,0.15,1.44,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace_ind,const,yardstick,vf,1,25,50,50,47.93,6.9,0.09,6.53,0.18,5.11,0.18,2.083,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,const,yardstick,vf+vf,2,25,50,75,58.57,12.1,0.16,17.17,0.22,15.73,0.22,6.406,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,const,inplace_ind,om ref,1,25,50,50,50.06,1.4,0.02,8.66,0.16,7.24,0.15,2.949,1.326,1.416
clang++ 18.1,64,warm,inplace_ind,const,inplace_ind,om ref,2,50,50,50,50.89,4.6,0.06,9.49,0.17,8.04,0.16,3.276,0.552,0.511
clang++ 18.1,64,warm,main,use,yardstick,vf,1,25,50,75,52.82,11.2,0.15,11.42,0.22,10.03,0.21,4.085,1.000,1.000
clang++ 18.1,64,warm,main,use,yardstick,vf+vf,2,25,75,75,66.30,12.0,0.16,24.90,0.22,23.10,0.22,9.408,1.000,1.000
clang++ 18.1,64,warm,main,use,vptr_vector,om vptr,1,25,50,75,55.61,11.7,0.16,14.21,0.22,12.82,0.22,5.223,1.245,1.279
clang++ 18.1,64,warm,main,use,vptr_vector,om ref,1,50,75,75,63.21,12.5,0.17,21.81,0.23,20.43,0.22,8.319,1.910,2.036
