compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,64,warm,main,-,baseline,probe,0,25,50,50,38.58,12.5,0.16,0.00,0.23,-4.61,0.22,-1.877,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,direct,0,25,50,50,43.19,11.1,0.15,4.61,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,nvf,1,25,50,50,43.01,11.2,0.15,4.43,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,nvf+nvf,2,25,50,50,42.75,11.3,0.15,4.17,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,const,yardstick,vf,1,25,50,50,49.28,4.2,0.06,10.69,0.17,6.27,0.16,2.553,1.000,1.000
g++ 13.3,64,warm,main,const,yardstick,vf+vf,2,25,50,75,59.59,12.4,0.16,21.00,0.23,16.84,0.22,6.858,1.000,1.000
g++ 13.3,64,warm,main,const,vptr_vector,om vptr,1,25,50,50,49.21,4.4,0.06,10.62,0.17,6.01,0.16,2.449,0.993,0.959
g++ 13.3,64,warm,main,const,vptr_vector,om ref,1,50,50,75,54.95,10.0,0.13,16.37,0.21,11.94,0.20,4.864,1.531,1.906
g++ 13.3,64,warm,main,const,vptr_vector,om vptr,2,25,50,50,49.46,3.6,0.05,10.88,0.17,6.27,0.16,2.553,0.518,0.372
g++ 13.3,64,warm,main,const,vptr_vector,om ref,2,50,50,75,56.26,10.8,0.14,17.68,0.22,13.51,0.21,5.502,0.842,0.802
g++ 13.3,64,warm,main,const,vptr_map,om vptr,1,25,50,50,49.13,4.6,0.06,10.55,0.18,5.94,0.16,2.419,0.986,0.948
g++ 13.3,64,warm,main,const,vptr_map,om ref,1,50,75,75,64.13,12.4,0.16,25.54,0.23,21.12,0.22,8.601,2.389,3.369
g++ 13.3,64,warm,main,const,vptr_map,om vptr,2,25,50,50,49.68,2.8,0.04,11.10,0.17,6.49,0.15,2.644,0.529,0.386
g++ 13.3,64,warm,main,const,vptr_map,om ref,2,50,75,75,69.76,10.2,0.13,31.18,0.21,27.01,0.20,11.000,1.484,1.604
