compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 18.1,32,warm,main,-,baseline,probe,0,25,50,50,38.95,12.4,0.16,0.00,0.23,-8.32,0.19,-3.387,0.000,0.000
clang++ 18.1,32,warm,main,-,baseline,direct,0,25,50,50,47.26,7.8,0.10,8.32,0.19,0.00,0.15,0.000,0.000,0.000
clang++ 18.1,32,warm,main,-,baseline,touch,1,25,50,50,48.75,5.4,0.07,9.80,0.18,0.00,0.10,0.000,0.000,0.000
clang++ 18.1,32,warm,main,-,baseline,touch+touch,2,25,50,50,48.72,5.5,0.07,9.77,0.18,0.00,0.10,0.000,0.000,0.000
clang++ 18.1,32,warm,main,const,yardstick,vf,1,25,50,75,56.63,12.0,0.16,17.68,0.23,7.88,0.17,3.210,1.000,1.000
clang++ 18.1,32,warm,main,const,yardstick,vf+vf,2,50,75,75,63.66,12.4,0.16,24.71,0.23,14.94,0.18,6.086,1.000,1.000
clang++ 18.1,32,warm,main,const,vptr_vector,om vptr,1,50,50,75,58.36,11.8,0.16,19.42,0.23,11.10,0.19,4.521,1.098,1.408
clang++ 18.1,32,warm,main,const,vptr_vector,om ref,1,50,75,75,64.06,12.4,0.16,25.11,0.23,15.31,0.18,6.236,1.420,1.943
clang++ 18.1,32,warm,main,const,vptr_vector,om vptr,2,50,50,75,57.86,11.6,0.15,18.92,0.23,10.60,0.19,4.317,0.765,0.709
clang++ 18.1,32,warm,main,const,vptr_vector,om ref,2,50,50,75,56.67,11.1,0.15,17.72,0.22,7.95,0.16,3.239,0.717,0.532
clang++ 18.1,32,warm,main,const,vptr_map,om vptr,1,50,50,75,57.20,11.3,0.15,18.25,0.22,9.94,0.18,4.048,1.032,1.261
clang++ 18.1,32,warm,main,const,vptr_map,om ref,1,50,75,75,71.13,9.0,0.12,32.18,0.20,22.38,0.14,9.114,1.820,2.839
clang++ 18.1,32,warm,main,const,vptr_map,om vptr,2,50,50,75,57.43,11.4,0.15,18.49,0.22,10.17,0.18,4.142,0.748,0.681
clang++ 18.1,32,warm,main,const,vptr_map,om ref,2,50,75,75,69.96,10.0,0.13,31.01,0.21,21.24,0.15,8.651,1.255,1.421
clang++ 18.1,32,warm,main,const,flat_map,om vptr,1,50,50,75,57.17,11.3,0.15,18.22,0.22,9.90,0.18,4.033,1.030,1.257
clang++ 18.1,32,warm,main,const,flat_map,om ref,1,50,75,75,74.89,5.7,0.08,35.94,0.18,26.14,0.10,10.646,2.032,3.317
clang++ 18.1,32,warm,main,const,flat_map,om vptr,2,50,50,75,57.49,11.5,0.15,18.54,0.22,10.23,0.18,4.166,0.750,0.684
clang++ 18.1,32,warm,main,const,flat_map,om ref,2,50,75,75,74.29,4.2,0.06,35.34,0.17,25.57,0.09,10.414,1.430,1.711
clang++ 18.1,32,warm,main,const,indirect,om vptr,1,50,50,75,60.50,12.3,0.16,21.55,0.23,13.24,0.19,5.391,1.219,1.679
clang++ 18.1,32,warm,main,const,indirect,om ref,1,50,75,75,67.14,11.6,0.15,28.20,0.23,18.39,0.17,7.492,1.594,2.334
clang++ 18.1,32,warm,main,const,indirect,om vptr,2,50,50,75,58.97,12.0,0.16,20.03,0.23,11.71,0.19,4.769,0.810,0.784
clang++ 18.1,32,warm,main,const,indirect,om ref,2,50,50,75,58.60,11.9,0.16,19.65,0.23,9.88,0.17,4.025,0.795,0.661
clang++ 18.1,32,warm,inplace,-,baseline,touch,1,25,50,50,48.76,5.4,0.07,9.81,0.18,0.00,0.10,0.000,0.000,0.000
clang++ 18.1,32,warm,inplace,-,baseline,touch+touch,2,25,50,50,48.71,5.5,0.07,9.76,0.18,0.00,0.10,0.000,0.000,0.000
clang++ 18.1,32,warm,inplace,const,yardstick,vf,1,25,50,75,53.61,12.1,0.16,14.66,0.23,4.85,0.18,1.976,1.000,1.000
clang++ 18.1,32,warm,inplace,const,yardstick,vf+vf,2,50,75,75,64.23,12.4,0.16,25.28,0.23,15.52,0.18,6.322,1.000,1.000
clang++ 18.1,32,warm,inplace,const,inplace,om ref,1,25,50,75,55.87,11.9,0.16,16.92,0.23,7.11,0.17,2.896,1.154,1.466
clang++ 18.1,32,warm,inplace,const,inplace,om ref,2,50,50,50,50.00,0.0,0.00,11.05,0.16,1.29,0.07,0.527,0.437,0.083
clang++ 18.1,32,warm,inplace_ind,-,baseline,touch,1,25,50,50,49.02,4.9,0.06,10.07,0.18,0.00,0.09,0.000,0.000,0.000
clang++ 18.1,32,warm,inplace_ind,-,baseline,touch+touch,2,25,50,50,48.82,5.3,0.07,9.87,0.18,0.00,0.10,0.000,0.000,0.000
clang++ 18.1,32,warm,inplace_ind,const,yardstick,vf,1,25,50,75,53.52,11.9,0.16,14.57,0.23,4.50,0.17,1.835,1.000,1.000
clang++ 18.1,32,warm,inplace_ind,const,yardstick,vf+vf,2,50,75,75,63.58,12.5,0.16,24.64,0.23,14.77,0.18,6.014,1.000,1.000
clang++ 18.1,32,warm,inplace_ind,const,inplace_ind,om ref,1,25,50,75,60.39,12.4,0.16,21.44,0.23,11.37,0.18,4.632,1.471,2.525
clang++ 18.1,32,warm,inplace_ind,const,inplace_ind,om ref,2,50,50,75,51.82,6.5,0.09,12.87,0.19,3.00,0.11,1.224,0.523,0.203
clang++ 18.1,32,warm,main,use,yardstick,vf,1,25,50,75,58.94,12.2,0.16,20.00,0.23,10.19,0.18,4.151,1.000,1.000
clang++ 18.1,32,warm,main,use,yardstick,vf+vf,2,50,75,75,68.29,11.1,0.15,29.34,0.22,19.57,0.16,7.970,1.000,1.000
clang++ 18.1,32,warm,main,use,vptr_vector,om vptr,1,50,75,75,64.04,12.4,0.16,25.10,0.23,15.29,0.18,6.229,1.255,1.500
clang++ 18.1,32,warm,main,use,vptr_vector,om ref,1,50,75,75,65.94,12.0,0.16,26.99,0.23,17.19,0.17,7.001,1.350,1.686
clang++ 18.1,32,warm,main,use,vptr_vector,om vptr,2,50,75,75,63.60,12.5,0.16,24.65,0.23,14.88,0.18,6.061,0.840,0.760
clang++ 18.1,32,warm,main,use,vptr_vector,om ref,2,50,50,75,56.51,11.0,0.15,17.57,0.22,7.79,0.16,3.174,0.599,0.398
clang++ 18.1,32,warm,main,use,vptr_map,om vptr,1,50,75,75,63.65,12.4,0.16,24.70,0.23,14.90,0.18,6.068,1.235,1.462
clang++ 18.1,32,warm,main,use,vptr_map,om ref,1,50,75,75,72.53,7.5,0.10,33.58,0.19,23.78,0.12,9.684,1.679,2.333
clang++ 18.1,32,warm,main,use,vptr_map,om vptr,2,50,75,75,63.44,12.5,0.17,24.50,0.23,14.72,0.18,5.997,0.835,0.752
clang++ 18.1,32,warm,main,use,vptr_map,om ref,2,50,75,75,69.62,10.3,0.14,30.67,0.21,20.90,0.15,8.512,1.045,1.068
clang++ 18.1,32,warm,main,use,flat_map,om vptr,1,50,75,75,62.85,12.5,0.17,23.90,0.23,14.10,0.18,5.741,1.195,1.383
clang++ 18.1,32,warm,main,use,flat_map,om ref,1,50,75,100,77.22,9.1,0.12,38.27,0.20,28.47,0.14,11.595,1.914,2.793
clang++ 18.1,32,warm,main,use,flat_map,om vptr,2,50,75,75,64.21,12.4,0.16,25.27,0.23,15.50,0.18,6.311,0.861,0.792
clang++ 18.1,32,warm,main,use,flat_map,om ref,2,50,75,75,74.23,4.3,0.06,35.29,0.17,25.51,0.09,10.391,1.203,1.304
clang++ 18.1,32,warm,main,use,indirect,om vptr,1,50,75,75,66.23,11.9,0.16,27.28,0.23,17.48,0.17,7.118,1.364,1.715
clang++ 18.1,32,warm,main,use,indirect,om ref,1,50,75,75,68.91,10.7,0.14,29.96,0.22,20.16,0.16,8.212,1.499,1.978
clang++ 18.1,32,warm,main,use,indirect,om vptr,2,50,75,75,65.42,12.2,0.16,26.47,0.23,16.70,0.18,6.800,0.902,0.853
clang++ 18.1,32,warm,main,use,indirect,om ref,2,50,50,75,58.42,11.8,0.16,19.47,0.23,9.70,0.17,3.951,0.664,0.496
clang++ 18.1,32,warm,inplace,use,yardstick,vf,1,25,50,75,56.04,12.0,0.16,17.10,0.23,7.29,0.17,2.967,1.000,1.000
clang++ 18.1,32,warm,inplace,use,yardstick,vf+vf,2,50,75,75,66.24,11.9,0.16,27.29,0.23,17.54,0.17,7.142,1.000,1.000
clang++ 18.1,32,warm,inplace_ind,use,yardstick,vf,1,25,50,75,56.03,11.2,0.15,17.08,0.22,7.01,0.16,2.855,1.000,1.000
clang++ 18.1,32,warm,inplace_ind,use,yardstick,vf+vf,2,50,75,75,66.60,11.8,0.16,27.65,0.23,17.78,0.17,7.242,1.000,1.000
clang++ 18.1,32,warm,inplace,use,inplace,om ref,1,25,50,75,57.62,11.8,0.16,18.67,0.23,8.86,0.17,3.608,1.092,1.216
clang++ 18.1,32,warm,inplace,use,inplace,om ref,2,50,50,50,50.00,0.0,0.00,11.05,0.16,1.29,0.07,0.527,0.405,0.074
clang++ 18.1,32,warm,inplace_ind,use,inplace_ind,om ref,1,25,50,75,61.72,12.5,0.17,22.77,0.23,12.70,0.18,5.173,1.333,1.812
clang++ 18.1,32,warm,inplace_ind,use,inplace_ind,om ref,2,50,50,75,51.79,6.4,0.09,12.84,0.19,2.97,0.11,1.211,0.464,0.167
clang++ 18.1,32,clflush,main,-,baseline,probe,0,25,50,50,38.68,12.4,0.16,0.00,0.23,-8.29,0.20,-3.376,0.000,0.000
clang++ 18.1,32,clflush,main,-,baseline,direct,0,25,50,50,46.96,8.2,0.11,8.29,0.20,0.00,0.15,0.000,0.000,0.000
clang++ 18.1,32,clflush,main,-,baseline,touch,1,225,275,375,298.98,102.2,1.35,260.30,1.36,0.00,1.91,0.000,0.000,0.000
clang++ 18.1,32,clflush,main,-,baseline,touch+touch,2,225,300,850,363.70,172.9,2.29,325.03,2.30,0.00,3.24,0.000,0.000,0.000
clang++ 18.1,32,clflush,main,const,yardstick,vf,1,300,550,1100,614.96,182.9,2.42,576.29,2.43,315.98,2.78,128.692,1.000,1.000
clang++ 18.1,32,clflush,main,const,yardstick,vf+vf,2,525,625,1400,741.42,276.1,3.66,702.75,3.66,377.72,4.32,153.837,1.000,1.000
clang++ 18.1,32,clflush,main,const,vptr_vector,om vptr,1,525,550,850,592.44,132.1,1.75,553.77,1.76,545.48,1.75,222.161,0.961,1.726
clang++ 18.1,32,clflush,main,const,vptr_vector,om ref,1,900,1075,1875,1197.10,309.7,4.10,1158.42,4.11,898.12,4.32,365.783,2.010,2.842
clang++ 18.1,32,clflush,main,const,vptr_vector,om vptr,2,700,750,1425,834.18,222.2,2.94,795.51,2.95,787.22,2.95,320.617,1.132,2.084
clang++ 18.1,32,clflush,main,const,vptr_vector,om ref,2,1100,1550,2125,1560.26,338.1,4.48,1521.58,4.48,1196.56,5.03,487.331,2.165,3.168
clang++ 18.1,32,clflush,main,const,vptr_map,om vptr,1,450,500,1225,632.68,257.7,3.41,594.01,3.42,585.72,3.42,238.550,1.031,1.854
clang++ 18.1,32,clflush,main,const,vptr_map,om ref,1,700,750,1275,820.50,181.2,2.40,781.82,2.41,521.52,2.76,212.404,1.357,1.650
clang++ 18.1,32,clflush,main,const,vptr_map,om vptr,2,675,725,1325,810.22,194.9,2.58,771.54,2.59,763.25,2.58,310.856,1.098,2.021
clang++ 18.1,32,clflush,main,const,vptr_map,om ref,2,900,1025,1850,1195.93,324.9,4.30,1157.25,4.31,832.22,4.87,338.946,1.647,2.203
clang++ 18.1,32,clflush,main,const,flat_map,om vptr,1,450,500,1200,587.20,223.4,2.96,548.52,2.96,540.23,2.96,220.024,0.952,1.710
clang++ 18.1,32,clflush,main,const,flat_map,om ref,1,675,725,1125,786.05,145.3,1.92,747.37,1.93,487.07,2.35,198.373,1.297,1.541
clang++ 18.1,32,clflush,main,const,flat_map,om vptr,2,675,725,1475,830.06,242.5,3.21,791.39,3.22,783.10,3.21,318.937,1.126,2.073
clang++ 18.1,32,clflush,main,const,flat_map,om ref,2,900,1025,1875,1185.52,319.5,4.23,1146.85,4.23,821.82,4.81,334.709,1.632,2.176
clang++ 18.1,32,clflush,main,const,indirect,om vptr,1,475,500,1300,632.43,266.3,3.53,593.76,3.53,585.47,3.53,238.448,1.030,1.853
clang++ 18.1,32,clflush,main,const,indirect,om ref,1,1100,1250,2050,1397.74,303.9,4.02,1359.07,4.03,1098.76,4.25,447.501,2.358,3.477
clang++ 18.1,32,clflush,main,const,indirect,om vptr,2,675,800,1625,943.61,304.4,4.03,904.93,4.03,896.64,4.03,365.181,1.288,2.374
clang++ 18.1,32,clflush,main,const,indirect,om ref,2,1325,1600,2375,1747.59,369.8,4.90,1708.91,4.90,1383.89,5.41,563.625,2.432,3.664
clang++ 18.1,32,clflush,inplace,-,baseline,touch,1,225,275,350,295.41,101.4,1.34,256.74,1.35,0.00,1.90,0.000,0.000,0.000
clang++ 18.1,32,clflush,inplace,-,baseline,touch+touch,2,250,300,775,340.72,153.8,2.04,302.04,2.04,0.00,2.88,0.000,0.000,0.000
clang++ 18.1,32,clflush,inplace,const,yardstick,vf,1,425,475,1025,543.49,176.9,2.34,504.81,2.35,248.07,2.70,101.035,1.000,1.000
clang++ 18.1,32,clflush,inplace,const,yardstick,vf+vf,2,400,500,1300,616.15,267.5,3.54,577.47,3.55,275.43,4.09,112.176,1.000,1.000
clang++ 18.1,32,clflush,inplace,const,inplace,om ref,1,325,500,1000,554.47,161.2,2.13,515.80,2.14,259.06,2.52,105.510,1.022,1.044
clang++ 18.1,32,clflush,inplace,const,inplace,om ref,2,675,800,1550,938.20,278.5,3.69,899.52,3.69,597.48,4.21,243.339,1.558,2.169
clang++ 18.1,32,clflush,inplace_ind,-,baseline,touch,1,200,250,325,259.18,97.7,1.29,220.50,1.30,0.00,1.83,0.000,0.000,0.000
clang++ 18.1,32,clflush,inplace_ind,-,baseline,touch+touch,2,200,250,800,322.06,174.9,2.32,283.39,2.32,0.00,3.28,0.000,0.000,0.000
clang++ 18.1,32,clflush,inplace_ind,const,yardstick,vf,1,400,475,1025,542.14,175.7,2.33,503.46,2.33,282.96,2.66,115.243,1.000,1.000
clang++ 18.1,32,clflush,inplace_ind,const,yardstick,vf+vf,2,450,550,1300,661.51,245.5,3.25,622.84,3.26,339.45,3.99,138.251,1.000,1.000
clang++ 18.1,32,clflush,inplace_ind,const,inplace_ind,om ref,1,675,750,1450,871.04,242.9,3.22,832.36,3.22,611.86,3.47,249.197,1.653,2.162
clang++ 18.1,32,clflush,inplace_ind,const,inplace_ind,om ref,2,850,975,1825,1146.43,322.2,4.27,1107.75,4.27,824.37,4.86,335.747,1.779,2.429
clang++ 18.1,32,clflush,main,use,yardstick,vf,1,350,500,1050,563.59,183.9,2.44,524.91,2.44,264.61,2.79,107.770,1.000,1.000
clang++ 18.1,32,clflush,main,use,yardstick,vf+vf,2,475,550,1350,680.80,273.5,3.62,642.13,3.63,317.10,4.29,129.148,1.000,1.000
clang++ 18.1,32,clflush,main,use,vptr_vector,om vptr,1,675,750,1075,783.46,124.3,1.65,744.79,1.66,484.48,2.13,197.319,1.419,1.831
clang++ 18.1,32,clflush,main,use,vptr_vector,om ref,1,875,975,1725,1088.06,264.2,3.50,1049.39,3.50,789.08,3.75,321.376,1.999,2.982
clang++ 18.1,32,clflush,main,use,vptr_vector,om vptr,2,900,975,1775,1131.01,291.5,3.86,1092.34,3.86,767.31,4.49,312.509,1.701,2.420
clang++ 18.1,32,clflush,main,use,vptr_vector,om ref,2,1100,1425,2075,1507.80,332.4,4.40,1469.12,4.41,1144.10,4.96,465.965,2.288,3.608
clang++ 18.1,32,clflush,main,use,vptr_map,om vptr,1,650,725,1275,793.82,182.9,2.42,755.14,2.43,494.84,2.78,201.538,1.439,1.870
clang++ 18.1,32,clflush,main,use,vptr_map,om ref,1,675,750,1150,798.24,141.5,1.87,759.56,1.88,499.26,2.31,203.337,1.447,1.887
clang++ 18.1,32,clflush,main,use,vptr_map,om vptr,2,875,1000,1775,1147.92,302.9,4.01,1109.24,4.02,784.21,4.62,319.393,1.727,2.473
clang++ 18.1,32,clflush,main,use,vptr_map,om ref,2,900,1025,1825,1157.97,301.4,3.99,1119.29,4.00,794.27,4.60,323.487,1.743,2.505
clang++ 18.1,32,clflush,main,use,flat_map,om vptr,1,650,750,1300,822.42,190.6,2.52,783.74,2.53,523.44,2.86,213.185,1.493,1.978
clang++ 18.1,32,clflush,main,use,flat_map,om ref,1,675,725,1150,809.78,147.4,1.95,771.11,1.96,510.80,2.38,208.038,1.469,1.930
clang++ 18.1,32,clflush,main,use,flat_map,om vptr,2,900,1000,1850,1154.04,322.5,4.27,1115.37,4.27,790.34,4.85,321.888,1.737,2.492
clang++ 18.1,32,clflush,main,use,flat_map,om ref,2,900,1025,1800,1179.71,289.7,3.84,1141.03,3.84,816.00,4.47,332.340,1.777,2.573
clang++ 18.1,32,clflush,main,use,indirect,om vptr,1,675,775,1525,884.72,268.0,3.55,846.05,3.55,585.75,3.80,238.561,1.612,2.214
clang++ 18.1,32,clflush,main,use,indirect,om ref,1,1100,1250,2075,1406.68,319.2,4.23,1368.01,4.23,1107.71,4.44,451.144,2.606,4.186
clang++ 18.1,32,clflush,main,use,indirect,om vptr,2,900,1025,1900,1208.77,336.9,4.46,1170.09,4.47,845.07,5.02,344.176,1.822,2.665
clang++ 18.1,32,clflush,main,use,indirect,om ref,2,1300,1525,2350,1721.17,375.6,4.97,1682.49,4.98,1357.46,5.48,552.865,2.620,4.281
clang++ 18.1,32,clflush,inplace,use,yardstick,vf,1,400,475,975,532.59,156.2,2.07,493.92,2.08,237.18,2.47,96.598,1.000,1.000
clang++ 18.1,32,clflush,inplace,use,yardstick,vf+vf,2,400,525,1375,654.33,282.9,3.75,615.66,3.75,313.61,4.26,127.728,1.000,1.000
clang++ 18.1,32,clflush,inplace_ind,use,yardstick,vf,1,375,475,975,537.25,164.6,2.18,498.58,2.19,278.07,2.53,113.253,1.000,1.000
clang++ 18.1,32,clflush,inplace_ind,use,yardstick,vf+vf,2,450,525,1275,631.88,250.0,3.31,593.21,3.32,309.82,4.04,126.183,1.000,1.000
clang++ 18.1,32,clflush,inplace,use,inplace,om ref,1,275,525,1175,597.05,210.7,2.79,558.38,2.80,301.64,3.10,122.851,1.131,1.272
