compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,64,warm,main,-,baseline,probe,0,25,50,50,38.77,12.4,0.16,0.00,0.23,-3.23,0.23,-1.316,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,direct,0,25,50,50,42.00,11.7,0.15,3.23,0.23,0.00,0.22,0.000,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,touch,1,25,50,50,43.00,11.2,0.15,4.23,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,touch+touch,2,25,50,50,42.92,11.3,0.15,4.15,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,const,yardstick,vf,1,25,50,50,49.14,4.5,0.06,10.38,0.18,6.14,0.16,2.502,1.000,1.000
g++ 13.3,64,warm,main,const,yardstick,vf+vf,2,25,50,75,60.13,12.6,0.17,21.36,0.23,17.21,0.22,7.007,1.000,1.000
g++ 13.3,64,warm,main,const,vptr_vector,om vptr,1,25,50,50,49.14,4.5,0.06,10.38,0.18,7.14,0.17,2.910,1.000,1.163
g++ 13.3,64,warm,main,const,vptr_vector,om ref,1,50,50,75,54.92,9.9,0.13,16.15,0.21,11.92,0.20,4.853,1.556,1.939
g++ 13.3,64,warm,main,const,vptr_vector,om vptr,2,25,50,50,49.54,3.3,0.04,10.78,0.17,7.54,0.16,3.072,0.505,0.438
g++ 13.3,64,warm,main,const,vptr_vector,om ref,2,50,50,75,56.17,10.8,0.14,17.40,0.22,13.25,0.21,5.394,0.815,0.770
g++ 13.3,64,warm,main,const,vptr_map,om vptr,1,25,50,50,49.23,4.3,0.06,10.46,0.17,7.23,0.16,2.945,1.008,1.177
g++ 13.3,64,warm,main,const,vptr_map,om ref,1,50,75,75,64.33,12.4,0.16,25.57,0.23,21.33,0.22,8.688,2.464,3.472
g++ 13.3,64,warm,main,const,vptr_map,om vptr,2,25,50,50,49.55,3.3,0.04,10.78,0.17,7.55,0.16,3.074,0.505,0.439
g++ 13.3,64,warm,main,const,vptr_map,om ref,2,50,75,75,69.84,10.1,0.13,31.07,0.21,26.92,0.20,10.963,1.455,1.565
g++ 13.3,64,warm,main,const,flat_map,om vptr,1,25,50,50,49.22,4.3,0.06,10.46,0.17,7.22,0.16,2.942,1.008,1.176
g++ 13.3,64,warm,main,const,flat_map,om ref,1,50,75,75,64.48,12.3,0.16,25.71,0.23,21.48,0.22,8.747,2.478,3.495
g++ 13.3,64,warm,main,const,flat_map,om vptr,2,25,50,50,49.64,3.0,0.04,10.88,0.17,7.64,0.16,3.113,0.509,0.444
