compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 22.1,32,warm,main,-,baseline,probe,0,25,50,50,38.99,12.4,0.16,0.00,0.23,-7.46,0.20,-2.988,0.000,0.000
clang++ 22.1,32,warm,main,-,baseline,direct,0,25,50,50,46.44,8.7,0.12,7.46,0.20,0.00,0.16,0.000,0.000,0.000
clang++ 22.1,32,warm,main,-,baseline,touch,1,25,50,50,48.97,5.0,0.07,9.98,0.18,0.00,0.09,0.000,0.000,0.000
clang++ 22.1,32,warm,main,-,baseline,touch+touch,2,25,50,50,49.25,4.3,0.06,10.27,0.17,0.00,0.08,0.000,0.000,0.000
clang++ 22.1,32,warm,main,const,yardstick,vf,1,50,50,75,56.28,10.8,0.14,17.29,0.22,7.31,0.16,2.928,1.000,1.000
clang++ 22.1,32,warm,main,const,yardstick,vf+vf,2,50,75,75,71.25,8.9,0.12,32.27,0.20,22.00,0.13,8.817,1.000,1.000
clang++ 22.1,32,warm,main,const,vptr_vector,om vptr,1,50,50,75,57.37,11.4,0.15,18.39,0.22,10.93,0.19,4.380,1.063,1.496
clang++ 22.1,32,warm,main,const,vptr_vector,om ref,1,50,75,75,63.82,12.4,0.16,24.83,0.23,14.85,0.18,5.950,1.436,2.032
clang++ 22.1,32,warm,main,const,vptr_vector,om vptr,2,50,50,75,57.29,11.4,0.15,18.30,0.22,10.84,0.19,4.345,0.567,0.493
clang++ 22.1,32,warm,main,const,vptr_vector,om ref,2,50,50,75,56.99,11.2,0.15,18.00,0.22,7.74,0.16,3.101,0.558,0.352
clang++ 22.1,32,warm,main,const,vptr_map,om vptr,1,50,50,75,57.36,11.4,0.15,18.37,0.22,10.92,0.19,4.375,1.063,1.494
clang++ 22.1,32,warm,main,const,vptr_map,om ref,1,50,75,75,70.85,9.3,0.12,31.86,0.21,21.88,0.14,8.767,1.843,2.994
clang++ 22.1,32,warm,main,const,vptr_map,om vptr,2,50,50,75,57.57,11.5,0.15,18.58,0.22,11.12,0.19,4.458,0.576,0.506
clang++ 22.1,32,warm,main,const,vptr_map,om ref,2,50,75,75,69.74,10.2,0.13,30.75,0.21,20.48,0.15,8.209,0.953,0.931
clang++ 22.1,32,warm,main,const,flat_map,om vptr,1,50,50,75,58.62,11.9,0.16,19.63,0.23,12.18,0.20,4.879,1.135,1.666
clang++ 22.1,32,warm,main,const,flat_map,om ref,1,50,75,75,73.79,5.4,0.07,34.81,0.18,24.82,0.10,9.949,2.013,3.397
clang++ 22.1,32,warm,main,const,flat_map,om vptr,2,50,50,75,57.33,11.4,0.15,18.35,0.22,10.89,0.19,4.364,0.569,0.495
clang++ 22.1,32,warm,main,const,flat_map,om ref,2,50,75,75,71.64,8.5,0.11,32.66,0.20,22.39,0.13,8.973,1.012,1.018
clang++ 22.1,32,warm,main,const,indirect,om vptr,1,50,50,75,59.19,12.1,0.16,20.20,0.23,12.75,0.20,5.108,1.168,1.744
clang++ 22.1,32,warm,main,const,indirect,om ref,1,50,75,75,66.49,11.8,0.16,27.50,0.23,17.52,0.17,7.020,1.591,2.397
clang++ 22.1,32,warm,main,const,indirect,om vptr,2,50,50,75,59.32,12.1,0.16,20.33,0.23,12.87,0.20,5.159,0.630,0.585
clang++ 22.1,32,warm,main,const,indirect,om ref,2,50,50,75,58.87,12.0,0.16,19.89,0.23,9.62,0.17,3.855,0.616,0.437
clang++ 22.1,32,warm,inplace,-,baseline,touch,1,25,50,50,48.68,5.6,0.07,9.69,0.18,0.00,0.10,0.000,0.000,0.000
clang++ 22.1,32,warm,inplace,-,baseline,touch+touch,2,25,50,50,49.12,4.6,0.06,10.14,0.18,0.00,0.09,0.000,0.000,0.000
clang++ 22.1,32,warm,inplace,const,yardstick,vf,1,25,50,75,54.44,9.6,0.13,15.45,0.21,5.76,0.15,2.310,1.000,1.000
clang++ 22.1,32,warm,inplace,const,yardstick,vf+vf,2,50,75,75,63.83,12.4,0.16,24.84,0.23,14.71,0.18,5.894,1.000,1.000
clang++ 22.1,32,warm,inplace,const,inplace,om ref,1,25,50,75,57.26,12.2,0.16,18.27,0.23,8.58,0.18,3.440,1.183,1.489
clang++ 22.1,32,warm,inplace,const,inplace,om ref,2,50,50,50,50.00,0.0,0.00,11.01,0.16,0.88,0.06,0.352,0.443,0.060
clang++ 22.1,32,warm,inplace_ind,-,baseline,touch,1,25,50,50,48.64,5.7,0.08,9.65,0.18,0.00,0.11,0.000,0.000,0.000
clang++ 22.1,32,warm,inplace_ind,-,baseline,touch+touch,2,25,50,50,49.10,4.7,0.06,10.11,0.18,0.00,0.09,0.000,0.000,0.000
clang++ 22.1,32,warm,inplace_ind,const,yardstick,vf,1,25,50,75,53.89,9.9,0.13,14.90,0.21,5.25,0.15,2.104,1.000,1.000
clang++ 22.1,32,warm,inplace_ind,const,yardstick,vf+vf,2,50,75,75,63.83,12.4,0.16,24.85,0.23,14.73,0.18,5.904,1.000,1.000
clang++ 22.1,32,warm,inplace_ind,const,inplace_ind,om ref,1,25,50,75,59.98,12.3,0.16,21.00,0.23,11.34,0.18,4.545,1.409,2.160
clang++ 22.1,32,warm,inplace_ind,const,inplace_ind,om ref,2,50,50,75,52.34,7.3,0.10,13.36,0.19,3.24,0.11,1.299,0.538,0.220
clang++ 22.1,32,warm,main,use,yardstick,vf,1,25,50,75,58.15,11.8,0.16,19.17,0.23,9.18,0.17,3.681,1.000,1.000
clang++ 22.1,32,warm,main,use,yardstick,vf+vf,2,50,75,75,67.58,11.4,0.15,28.60,0.22,18.33,0.16,7.345,1.000,1.000
clang++ 22.1,32,warm,main,use,vptr_vector,om vptr,1,50,75,75,62.86,12.5,0.17,23.88,0.23,13.89,0.18,5.568,1.246,1.513
clang++ 22.1,32,warm,main,use,vptr_vector,om ref,1,50,75,75,65.01,12.2,0.16,26.02,0.23,16.04,0.18,6.428,1.358,1.746
clang++ 22.1,32,warm,main,use,vptr_vector,om vptr,2,50,75,75,63.75,12.4,0.16,24.77,0.23,14.50,0.17,5.811,0.866,0.791
clang++ 22.1,32,warm,main,use,vptr_vector,om ref,2,50,50,75,56.57,11.0,0.15,17.58,0.22,7.32,0.16,2.932,0.615,0.399
clang++ 22.1,32,warm,main,use,vptr_map,om vptr,1,50,75,75,62.89,12.5,0.17,23.90,0.23,13.92,0.18,5.577,1.247,1.515
clang++ 22.1,32,warm,main,use,vptr_map,om ref,1,50,75,75,72.48,7.5,0.10,33.49,0.19,23.51,0.12,9.421,1.747,2.560
clang++ 22.1,32,warm,main,use,vptr_map,om vptr,2,50,75,75,63.71,12.4,0.16,24.72,0.23,14.46,0.17,5.793,0.865,0.789
clang++ 22.1,32,warm,main,use,vptr_map,om ref,2,50,75,75,69.94,10.0,0.13,30.96,0.21,20.69,0.14,8.291,1.083,1.129
clang++ 22.1,32,warm,main,use,flat_map,om vptr,1,50,75,75,62.73,12.5,0.17,23.75,0.23,13.76,0.18,5.516,1.239,1.499
clang++ 22.1,32,warm,main,use,flat_map,om ref,1,50,75,100,72.54,11.4,0.15,33.56,0.22,23.57,0.16,9.448,1.751,2.567
clang++ 22.1,32,warm,main,use,flat_map,om vptr,2,50,75,75,63.54,12.5,0.16,24.56,0.23,14.29,0.17,5.727,0.859,0.780
clang++ 22.1,32,warm,main,use,flat_map,om ref,2,50,75,75,71.94,8.2,0.11,32.95,0.20,22.68,0.12,9.091,1.152,1.238
clang++ 22.1,32,warm,main,use,indirect,om vptr,1,50,75,75,64.39,12.4,0.16,25.41,0.23,15.43,0.18,6.182,1.326,1.680
clang++ 22.1,32,warm,main,use,indirect,om ref,1,50,75,75,69.77,10.2,0.13,30.79,0.21,20.80,0.15,8.337,1.606,2.265
clang++ 22.1,32,warm,main,use,indirect,om vptr,2,50,75,75,65.08,12.2,0.16,26.10,0.23,15.83,0.17,6.344,0.913,0.864
clang++ 22.1,32,warm,main,use,indirect,om ref,2,50,50,75,58.96,12.0,0.16,19.97,0.23,9.70,0.17,3.888,0.698,0.529
clang++ 22.1,32,warm,inplace,use,yardstick,vf,1,25,50,75,55.79,10.7,0.14,16.80,0.22,7.11,0.16,2.849,1.000,1.000
clang++ 22.1,32,warm,inplace,use,yardstick,vf+vf,2,50,75,75,66.08,12.0,0.16,27.10,0.23,16.96,0.17,6.797,1.000,1.000
clang++ 22.1,32,warm,inplace_ind,use,yardstick,vf,1,50,50,75,56.11,10.7,0.14,17.12,0.22,7.46,0.16,2.992,1.000,1.000
clang++ 22.1,32,warm,inplace_ind,use,yardstick,vf+vf,2,50,75,75,65.82,12.1,0.16,26.83,0.23,16.71,0.17,6.699,1.000,1.000
clang++ 22.1,32,warm,inplace,use,inplace,om ref,1,25,50,75,57.79,12.3,0.16,18.80,0.23,9.11,0.18,3.651,1.119,1.281
clang++ 22.1,32,warm,inplace,use,inplace,om ref,2,50,50,50,50.18,2.1,0.03,11.19,0.17,1.06,0.07,0.424,0.413,0.062
clang++ 22.1,32,warm,inplace_ind,use,inplace_ind,om ref,1,25,50,75,61.43,12.5,0.17,22.44,0.23,12.79,0.18,5.125,1.311,1.713
