compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,64,warm,main,-,baseline,ovh,0,25,50,50,38.84,12.4,0.16,0.00,0.23,0.00,0.23,0.000,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,nvf,1,25,50,50,42.54,11.4,0.15,3.70,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,-,baseline,nvf+nvf,2,25,50,50,43.27,11.1,0.15,4.43,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,const,yardstick,vf,1,25,50,75,56.49,11.1,0.15,17.65,0.22,13.95,0.21,5.590,1.000,1.000
g++ 13.3,64,warm,main,const,yardstick,vf+vf,2,25,75,75,68.75,10.9,0.14,29.91,0.22,25.48,0.21,10.212,1.000,1.000
g++ 13.3,64,warm,main,const,vptr_vector,om vptr,1,25,50,75,54.96,10.6,0.14,16.12,0.22,16.12,0.22,6.460,0.913,1.156
g++ 13.3,64,warm,main,const,vptr_vector,om ref,1,50,50,75,59.73,12.2,0.16,20.89,0.23,17.19,0.22,6.888,1.184,1.232
g++ 13.3,64,warm,main,const,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,11.16,0.16,11.16,0.16,4.472,0.373,0.438
g++ 13.3,64,warm,main,const,vptr_vector,om ref,2,50,50,75,55.79,10.5,0.14,16.95,0.22,12.52,0.20,5.018,0.567,0.491
g++ 13.3,64,warm,main,const,vptr_map,om vptr,1,25,50,75,54.12,10.1,0.13,15.28,0.21,15.28,0.21,6.124,0.866,1.096
g++ 13.3,64,warm,main,const,vptr_map,om ref,1,50,75,75,68.58,10.9,0.14,29.74,0.22,26.04,0.21,10.434,1.685,1.867
g++ 13.3,64,warm,main,const,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,11.16,0.16,11.16,0.16,4.472,0.373,0.438
g++ 13.3,64,warm,main,const,vptr_map,om ref,2,50,75,75,70.53,9.6,0.13,31.68,0.21,27.25,0.19,10.922,1.059,1.070
g++ 13.3,64,warm,main,const,flat_map,om vptr,1,25,50,75,53.99,9.9,0.13,15.14,0.21,15.14,0.21,6.069,0.858,1.086
