compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 22.1,64,clflush,main,-,baseline,probe,0,25,50,50,38.71,12.4,0.16,0.00,0.23,-4.85,0.22,-1.871,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,direct,0,25,50,50,43.56,10.9,0.14,4.85,0.22,0.00,0.20,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch,1,225,300,375,307.57,97.9,1.30,268.86,1.31,0.00,1.83,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch+touch,2,250,300,825,355.11,164.5,2.18,316.40,2.19,0.00,3.08,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,const,yardstick,vf,1,425,525,1075,583.06,181.6,2.41,544.35,2.41,275.49,2.73,106.365,1.000,1.000
clang++ 22.1,64,clflush,main,const,yardstick,vf+vf,2,475,575,1375,690.39,265.4,3.52,651.68,3.52,335.28,4.14,129.449,1.000,1.000
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,1,475,550,850,588.59,111.3,1.47,549.87,1.48,545.03,1.48,210.433,1.010,1.978
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,1,975,1050,1875,1198.48,279.7,3.70,1159.77,3.71,890.91,3.92,343.977,2.131,3.234
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,2,725,825,1625,953.44,294.7,3.90,914.73,3.91,909.88,3.91,351.303,1.404,2.714
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,2,1225,1450,2225,1601.08,349.6,4.63,1562.37,4.63,1245.97,5.12,481.066,2.397,3.716
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,1,425,525,1150,639.42,219.0,2.90,600.70,2.91,595.86,2.90,230.058,1.104,2.163
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,1,700,750,1250,801.17,168.2,2.23,762.45,2.23,493.59,2.58,190.575,1.401,1.792
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,2,675,775,1350,842.50,193.4,2.56,803.79,2.57,798.94,2.57,308.468,1.233,2.383
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,2,900,1025,1875,1179.63,303.7,4.02,1140.92,4.03,824.52,4.58,318.344,1.751,2.459
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,1,425,500,1250,647.29,268.2,3.55,608.57,3.56,603.73,3.56,233.098,1.118,2.191
clang++ 22.1,64,clflush,main,const,flat_map,om ref,1,675,725,1150,781.64,149.2,1.98,742.92,1.98,474.06,2.36,183.034,1.365,1.721
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,2,675,725,1300,799.92,191.9,2.54,761.21,2.55,756.36,2.55,292.029,1.168,2.256
clang++ 22.1,64,clflush,main,const,flat_map,om ref,2,900,1000,1825,1159.72,298.7,3.96,1121.00,3.96,804.61,4.52,310.656,1.720,2.400
clang++ 22.1,64,clflush,main,const,indirect,om vptr,1,475,500,1150,595.76,210.4,2.79,557.04,2.79,552.20,2.79,213.202,1.023,2.004
clang++ 22.1,64,clflush,main,const,indirect,om ref,1,1025,1200,2025,1360.90,301.6,3.99,1322.18,4.00,1053.32,4.20,406.686,2.429,3.824
clang++ 22.1,64,clflush,main,const,indirect,om vptr,2,675,750,1500,891.93,271.5,3.60,853.21,3.60,848.36,3.60,327.551,1.309,2.530
clang++ 22.1,64,clflush,main,const,indirect,om ref,2,1325,1475,2275,1638.96,318.6,4.22,1600.24,4.22,1283.84,4.75,495.688,2.456,3.829
clang++ 22.1,64,clflush,inplace,-,baseline,touch,1,200,250,325,276.64,93.0,1.23,237.93,1.24,0.00,1.74,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace,-,baseline,touch+touch,2,225,275,800,340.07,166.5,2.21,301.35,2.21,0.00,3.12,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace,const,yardstick,vf,1,450,500,1075,564.20,181.7,2.41,525.49,2.41,287.56,2.70,111.025,1.000,1.000
clang++ 22.1,64,clflush,inplace,const,yardstick,vf+vf,2,450,525,1375,653.07,282.5,3.74,614.35,3.75,313.00,4.34,120.849,1.000,1.000
clang++ 22.1,64,clflush,inplace,const,inplace,om ref,1,450,500,1300,646.25,276.8,3.67,607.54,3.67,369.61,3.87,142.704,1.156,1.285
clang++ 22.1,64,clflush,inplace,const,inplace,om ref,2,650,875,1525,961.92,276.1,3.66,923.20,3.66,621.85,4.27,240.095,1.503,1.987
clang++ 22.1,64,clflush,inplace_ind,-,baseline,touch,1,200,275,325,282.58,96.5,1.28,243.87,1.29,0.00,1.81,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace_ind,-,baseline,touch+touch,2,200,275,825,330.09,164.2,2.17,291.37,2.18,0.00,3.07,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace_ind,const,yardstick,vf,1,400,500,1000,542.96,168.3,2.23,504.24,2.24,260.37,2.57,100.529,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,const,yardstick,vf+vf,2,425,525,1400,700.86,312.8,4.14,662.15,4.15,370.78,4.68,143.156,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,const,inplace_ind,om ref,1,675,700,1400,790.05,222.5,2.95,751.34,2.95,507.47,3.21,195.933,1.490,1.949
clang++ 22.1,64,clflush,inplace_ind,const,inplace_ind,om ref,2,700,950,1800,1141.53,321.2,4.25,1102.82,4.26,811.44,4.78,313.296,1.666,2.188
clang++ 22.1,64,clflush,main,use,yardstick,vf,1,400,500,975,541.96,158.4,2.10,503.25,2.10,234.39,2.47,90.498,1.000,1.000
clang++ 22.1,64,clflush,main,use,yardstick,vf+vf,2,400,500,1325,629.16,269.1,3.56,590.44,3.57,274.04,4.18,105.808,1.000,1.000
clang++ 22.1,64,clflush,main,use,vptr_vector,om vptr,1,425,525,1225,637.28,239.6,3.17,598.56,3.18,329.70,3.43,127.297,1.189,1.407
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,1,900,950,1650,1076.17,243.1,3.22,1037.46,3.22,768.60,3.47,296.753,2.062,3.279
clang++ 22.1,64,clflush,main,use,vptr_vector,om vptr,2,675,725,1525,892.23,301.0,3.99,853.51,3.99,537.11,4.54,207.378,1.446,1.960
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,2,1100,1200,2025,1356.69,284.9,3.77,1317.97,3.78,1001.57,4.36,386.705,2.232,3.655
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,1,400,500,1325,660.13,296.5,3.93,621.41,3.93,352.55,4.14,136.120,1.235,1.504
