compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 18.1,32,warm,main,-,baseline,ovh,0,25,50,50,39.00,12.4,0.16,0.00,0.23,0.00,0.23,0.000,0.000,0.000
clang++ 18.1,32,warm,main,-,baseline,nvf,1,25,50,50,42.62,11.4,0.15,3.62,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,32,warm,main,-,baseline,nvf+nvf,2,25,50,50,43.12,11.2,0.15,4.11,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,32,warm,main,const,yardstick,vf,1,25,50,75,56.60,11.3,0.15,17.60,0.22,13.98,0.21,5.602,1.000,1.000
clang++ 18.1,32,warm,main,const,yardstick,vf+vf,2,50,75,75,67.77,11.3,0.15,28.77,0.22,24.65,0.21,9.880,1.000,1.000
clang++ 18.1,32,warm,main,const,vptr_vector,om vptr,1,50,50,75,56.39,10.9,0.14,17.38,0.22,17.38,0.22,6.966,0.988,1.243
clang++ 18.1,32,warm,main,const,vptr_vector,om ref,1,50,75,75,62.26,12.5,0.17,23.25,0.23,19.64,0.22,7.869,1.322,1.405
clang++ 18.1,32,warm,main,const,vptr_vector,om vptr,2,50,50,75,57.61,11.5,0.15,18.60,0.22,18.60,0.22,7.454,0.647,0.754
clang++ 18.1,32,warm,main,const,vptr_vector,om ref,2,50,50,75,56.65,11.0,0.15,17.64,0.22,13.53,0.21,5.423,0.613,0.549
clang++ 18.1,32,warm,main,const,vptr_map,om vptr,1,50,50,75,56.02,10.7,0.14,17.01,0.22,17.01,0.22,6.818,0.967,1.217
clang++ 18.1,32,warm,main,const,vptr_map,om ref,1,50,75,75,68.58,10.9,0.14,29.57,0.22,25.96,0.21,10.402,1.681,1.857
clang++ 18.1,32,warm,main,const,vptr_map,om vptr,2,50,50,75,57.45,11.4,0.15,18.45,0.22,18.45,0.22,7.393,0.641,0.748
clang++ 18.1,32,warm,main,const,vptr_map,om ref,2,50,75,75,70.31,9.8,0.13,31.31,0.21,27.19,0.20,10.898,1.088,1.103
clang++ 18.1,32,warm,main,const,flat_map,om vptr,1,50,50,75,56.00,10.7,0.14,17.00,0.22,17.00,0.22,6.813,0.966,1.216
clang++ 18.1,32,warm,main,const,flat_map,om ref,1,50,75,75,73.65,5.6,0.07,34.65,0.18,31.03,0.17,12.436,1.969,2.220
clang++ 18.1,32,warm,main,const,flat_map,om vptr,2,50,50,75,57.11,11.3,0.15,18.11,0.22,18.11,0.22,7.258,0.630,0.735
clang++ 18.1,32,warm,main,const,flat_map,om ref,2,50,75,75,73.76,5.4,0.07,34.76,0.18,30.64,0.16,12.281,1.208,1.243
clang++ 18.1,32,warm,main,const,indirect,om vptr,1,50,50,75,59.46,12.1,0.16,20.45,0.23,20.45,0.23,8.196,1.162,1.463
clang++ 18.1,32,warm,main,const,indirect,om ref,1,50,75,75,66.41,11.9,0.16,27.40,0.23,23.79,0.22,9.532,1.557,1.702
clang++ 18.1,32,warm,main,const,indirect,om vptr,2,50,50,75,58.96,12.0,0.16,19.96,0.23,19.96,0.23,7.999,0.694,0.810
clang++ 18.1,32,warm,main,const,indirect,om ref,2,50,50,75,58.81,11.9,0.16,19.80,0.23,15.69,0.22,6.287,0.688,0.636
