compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,32,warm,main,-,baseline,direct,0,25,50,50,48.89,5.1,0.07,0.00,0.10,0.00,0.10,0.000,0.000,0.000
g++ 13.3,32,warm,main,-,baseline,nvf,1,25,50,50,43.82,10.8,0.14,-5.07,0.16,0.00,0.20,0.000,0.000,0.000
g++ 13.3,32,warm,main,-,baseline,nvf+nvf,2,25,50,50,43.60,10.9,0.14,-5.29,0.16,0.00,0.20,0.000,0.000,0.000
g++ 13.3,32,warm,main,const,yardstick,vf,1,25,50,75,53.69,12.3,0.16,4.80,0.18,9.88,0.22,4.003,1.000,1.000
g++ 13.3,32,warm,main,const,yardstick,vf+vf,2,50,75,75,63.68,12.4,0.16,14.79,0.18,20.08,0.22,8.139,1.000,1.000
g++ 13.3,32,warm,main,const,vptr_vector,om vptr,1,25,50,75,56.72,11.1,0.15,7.83,0.16,7.83,0.16,3.173,1.630,0.793
g++ 13.3,32,warm,main,const,vptr_vector,om ref,1,50,75,75,62.25,12.5,0.17,13.36,0.18,18.43,0.22,7.469,2.781,1.866
g++ 13.3,32,warm,main,const,vptr_vector,om vptr,2,50,50,50,50.96,4.8,0.06,2.07,0.09,2.07,0.09,0.839,0.140,0.103
g++ 13.3,32,warm,main,const,vptr_vector,om ref,2,50,50,75,57.75,11.6,0.15,8.86,0.17,14.15,0.21,5.736,0.599,0.705
g++ 13.3,32,warm,main,const,vptr_map,om vptr,1,25,50,75,56.25,10.8,0.14,7.36,0.16,7.36,0.16,2.983,1.532,0.745
g++ 13.3,32,warm,main,const,vptr_map,om ref,1,50,75,75,71.64,8.5,0.11,22.75,0.13,27.82,0.18,11.274,4.736,2.817
g++ 13.3,32,warm,main,const,vptr_map,om vptr,2,50,50,50,51.00,4.9,0.06,2.11,0.09,2.11,0.09,0.855,0.143,0.105
