compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,32,warm,main,-,baseline,probe,0,25,50,50,38.62,12.4,0.16,0.00,0.23,-9.82,0.18,-3.998,0.000,0.000
g++ 13.3,32,warm,main,-,baseline,direct,0,25,50,50,48.44,6.0,0.08,9.82,0.18,0.00,0.11,0.000,0.000,0.000
g++ 13.3,32,warm,main,-,baseline,touch,1,25,50,50,43.40,11.0,0.15,4.78,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,main,-,baseline,touch+touch,2,25,50,50,43.43,11.0,0.15,4.81,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,main,const,yardstick,vf,1,25,50,75,52.32,11.2,0.15,13.70,0.22,8.93,0.21,3.634,1.000,1.000
g++ 13.3,32,warm,main,const,yardstick,vf+vf,2,50,75,75,62.32,12.5,0.17,23.69,0.23,18.88,0.22,7.687,1.000,1.000
g++ 13.3,32,warm,main,const,vptr_vector,om vptr,1,25,50,75,56.16,10.9,0.14,17.54,0.22,7.71,0.17,3.141,1.280,0.864
g++ 13.3,32,warm,main,const,vptr_vector,om ref,1,50,50,75,61.43,12.5,0.16,22.81,0.23,18.04,0.22,7.342,1.665,2.021
g++ 13.3,32,warm,main,const,vptr_vector,om vptr,2,50,50,75,51.48,5.9,0.08,12.86,0.18,3.04,0.11,1.236,0.543,0.161
g++ 13.3,32,warm,main,const,vptr_vector,om ref,2,50,50,75,57.12,11.3,0.15,18.50,0.22,13.69,0.21,5.573,0.781,0.725
g++ 13.3,32,warm,main,const,vptr_map,om vptr,1,25,50,75,55.02,10.2,0.13,16.39,0.21,6.57,0.16,2.677,1.197,0.737
g++ 13.3,32,warm,main,const,vptr_map,om ref,1,50,75,75,70.13,9.9,0.13,31.51,0.21,26.73,0.20,10.883,2.300,2.995
g++ 13.3,32,warm,main,const,vptr_map,om vptr,2,50,50,50,50.36,3.0,0.04,11.74,0.17,1.92,0.09,0.780,0.495,0.102
g++ 13.3,32,warm,main,const,vptr_map,om ref,2,50,75,75,67.17,11.6,0.15,28.54,0.23,23.73,0.21,9.662,1.205,1.257
g++ 13.3,32,warm,main,const,flat_map,om vptr,1,25,50,75,55.21,10.4,0.14,16.59,0.21,6.77,0.16,2.757,1.211,0.759
g++ 13.3,32,warm,main,const,flat_map,om ref,1,50,75,75,70.76,9.4,0.12,32.14,0.21,27.36,0.19,11.138,2.345,3.065
g++ 13.3,32,warm,main,const,flat_map,om vptr,2,50,50,50,50.49,3.5,0.05,11.87,0.17,2.05,0.09,0.834,0.501,0.108
g++ 13.3,32,warm,main,const,flat_map,om ref,2,50,75,75,69.60,10.3,0.14,30.98,0.21,26.17,0.20,10.653,1.307,1.386
g++ 13.3,32,warm,main,const,indirect,om vptr,1,25,50,75,58.48,11.9,0.16,19.86,0.23,10.04,0.18,4.085,1.449,1.124
