compiler,bits,mode,hier,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,64,warm,main,baseline,ovh,0,25,50,50,39.26,12.4,0.16,0.00,0.23,0.00,0.00,0.000,0.000,0.000
g++ 13.3,64,warm,main,baseline,nvf,1,25,50,50,42.68,11.4,0.15,3.42,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,baseline,nvf+nvf,2,25,50,50,42.89,11.3,0.15,3.62,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,yardstick,vf,1,25,50,75,55.63,10.6,0.14,16.36,0.22,12.95,0.21,5.292,1.000,1.000
g++ 13.3,64,warm,main,yardstick,vf+vf,2,25,75,75,67.73,11.4,0.15,28.46,0.22,24.84,0.21,10.153,1.000,1.000
g++ 13.3,64,warm,main,vptr_vector,om vptr,1,25,50,75,54.98,10.7,0.14,15.71,0.22,12.30,0.21,5.026,0.960,0.950
g++ 13.3,64,warm,main,vptr_vector,om ref,1,50,50,75,59.98,12.2,0.16,20.71,0.23,17.30,0.22,7.070,1.266,1.336
g++ 13.3,64,warm,main,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,10.74,0.16,7.11,0.15,2.908,0.377,0.286
g++ 13.3,64,warm,main,vptr_vector,om ref,2,50,50,75,55.52,10.4,0.14,16.25,0.21,12.63,0.20,5.163,0.571,0.508
g++ 13.3,64,warm,main,vptr_map,om vptr,1,25,50,75,54.36,10.1,0.13,15.10,0.21,11.68,0.20,4.775,0.923,0.902
g++ 13.3,64,warm,main,vptr_map,om ref,1,50,75,75,69.42,10.4,0.14,30.15,0.21,26.74,0.20,10.927,1.843,2.065
g++ 13.3,64,warm,main,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,10.74,0.16,7.11,0.15,2.908,0.377,0.286
g++ 13.3,64,warm,main,vptr_map,om ref,2,50,75,75,70.78,9.4,0.12,31.52,0.21,27.89,0.19,11.401,1.107,1.123
g++ 13.3,64,warm,main,flat_map,om vptr,1,25,50,75,55.81,11.0,0.15,16.54,0.22,13.13,0.21,5.365,1.011,1.014
g++ 13.3,64,warm,main,flat_map,om ref,1,50,75,75,69.71,10.2,0.14,30.45,0.21,27.03,0.20,11.048,1.861,2.088
