compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 22.1,64,clflush,main,-,baseline,probe,0,25,50,50,38.86,12.4,0.16,0.00,0.23,-4.16,0.22,-1.624,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,direct,0,25,50,50,43.02,11.2,0.15,4.16,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch,1,250,275,325,305.56,101.7,1.35,266.71,1.36,0.00,1.90,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch+touch,2,250,300,800,346.97,165.6,2.19,308.12,2.20,0.00,3.10,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,const,yardstick,vf,1,475,550,1150,617.29,194.9,2.58,578.44,2.59,311.73,2.91,121.656,1.000,1.000
clang++ 22.1,64,clflush,main,const,yardstick,vf+vf,2,450,575,1400,738.21,303.2,4.02,699.36,4.02,391.24,4.58,152.685,1.000,1.000
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,1,450,525,675,546.88,72.0,0.95,508.03,0.97,503.86,0.96,196.637,0.878,1.616
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,1,900,1050,1775,1186.60,275.7,3.65,1147.75,3.66,881.04,3.89,343.833,1.984,2.826
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,2,650,825,1325,874.37,163.4,2.16,835.51,2.17,831.35,2.17,324.441,1.195,2.125
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,2,1050,1450,2150,1556.27,326.2,4.32,1517.42,4.32,1209.30,4.85,471.939,2.170,3.091
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,1,425,525,1125,606.04,209.0,2.77,567.18,2.77,563.02,2.77,219.724,0.981,1.806
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,1,650,775,1425,850.75,213.0,2.82,811.89,2.83,545.18,3.13,212.763,1.404,1.749
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,2,650,825,1575,921.28,266.5,3.53,882.43,3.53,878.26,3.53,342.749,1.262,2.245
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,2,875,1125,1925,1292.48,322.0,4.27,1253.62,4.27,945.50,4.80,368.991,1.793,2.417
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,1,425,475,1250,606.34,265.8,3.52,567.49,3.53,563.32,3.52,219.842,0.981,1.807
clang++ 22.1,64,clflush,main,const,flat_map,om ref,1,650,825,1525,920.21,243.8,3.23,881.36,3.23,614.65,3.50,239.874,1.524,1.972
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,2,650,800,1700,938.88,324.3,4.29,900.02,4.30,895.86,4.30,349.617,1.287,2.290
clang++ 22.1,64,clflush,main,const,flat_map,om ref,2,925,1050,1875,1238.68,316.9,4.20,1199.82,4.20,891.70,4.74,347.994,1.716,2.279
clang++ 22.1,64,clflush,main,const,indirect,om vptr,1,450,500,1200,598.51,209.5,2.77,559.66,2.78,555.50,2.78,216.787,0.968,1.782
clang++ 22.1,64,clflush,main,const,indirect,om ref,1,1075,1200,2025,1345.60,300.5,3.98,1306.74,3.98,1040.04,4.20,405.882,2.259,3.336
clang++ 22.1,64,clflush,main,const,indirect,om vptr,2,700,725,1325,841.63,213.5,2.83,802.77,2.83,798.61,2.83,311.664,1.148,2.041
clang++ 22.1,64,clflush,main,const,indirect,om ref,2,1300,1425,2250,1616.61,320.2,4.24,1577.75,4.24,1269.63,4.77,495.484,2.256,3.245
clang++ 22.1,64,clflush,inplace,-,baseline,touch,1,200,275,400,295.14,103.3,1.37,256.28,1.38,0.00,1.93,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace,-,baseline,touch+touch,2,200,275,825,325.99,167.5,2.22,287.14,2.22,0.00,3.14,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace,const,yardstick,vf,1,375,475,1000,511.63,166.2,2.20,472.77,2.21,216.49,2.59,84.487,1.000,1.000
clang++ 22.1,64,clflush,inplace,const,yardstick,vf+vf,2,400,475,1300,582.21,255.2,3.38,543.36,3.38,256.22,4.04,99.992,1.000,1.000
clang++ 22.1,64,clflush,inplace,const,inplace,om ref,1,400,475,1300,598.42,272.7,3.61,559.56,3.62,303.28,3.86,118.358,1.184,1.401
clang++ 22.1,64,clflush,inplace,const,inplace,om ref,2,600,800,1550,919.95,282.4,3.74,881.09,3.74,593.96,4.35,231.796,1.622,2.318
clang++ 22.1,64,clflush,inplace_ind,-,baseline,touch,1,200,250,350,274.01,96.5,1.28,235.15,1.29,0.00,1.81,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace_ind,-,baseline,touch+touch,2,200,275,825,324.53,176.1,2.33,285.67,2.34,0.00,3.30,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace_ind,const,yardstick,vf,1,375,450,925,503.59,159.0,2.11,464.73,2.11,229.58,2.46,89.595,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,const,yardstick,vf+vf,2,400,500,1350,640.19,286.1,3.79,601.33,3.79,315.66,4.45,123.190,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,const,inplace_ind,om ref,1,650,700,1350,780.64,219.7,2.91,741.78,2.91,506.63,3.18,197.715,1.596,2.207
clang++ 22.1,64,clflush,inplace_ind,const,inplace_ind,om ref,2,700,1225,1775,1235.05,297.3,3.94,1196.19,3.94,910.52,4.58,355.339,1.989,2.884
clang++ 22.1,64,clflush,main,use,yardstick,vf,1,375,450,950,504.50,165.0,2.19,465.64,2.19,198.94,2.57,77.637,1.000,1.000
clang++ 22.1,64,clflush,main,use,yardstick,vf+vf,2,400,550,1400,703.83,321.5,4.26,664.98,4.26,356.86,4.79,139.267,1.000,1.000
clang++ 22.1,64,clflush,main,use,vptr_vector,om vptr,1,425,550,1000,648.13,184.3,2.44,609.27,2.45,342.57,2.79,133.689,1.308,1.722
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,1,825,975,1850,1145.52,323.8,4.29,1106.66,4.29,839.96,4.49,327.800,2.377,4.222
clang++ 22.1,64,clflush,main,use,vptr_vector,om vptr,2,650,700,1175,768.68,153.9,2.04,729.83,2.04,421.71,2.99,164.576,1.098,1.182
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,2,1125,1300,2050,1438.36,295.9,3.92,1399.50,3.92,1091.38,4.49,425.921,2.105,3.058
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,1,400,500,1150,658.87,250.9,3.32,620.01,3.33,353.31,3.59,137.881,1.332,1.776
clang++ 22.1,64,clflush,main,use,vptr_map,om ref,1,600,725,1100,772.87,150.6,1.99,734.02,2.00,467.31,2.41,182.372,1.576,2.349
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,2,675,750,1700,954.90,370.7,4.91,916.04,4.91,607.93,5.38,237.248,1.378,1.704
clang++ 22.1,64,clflush,main,use,vptr_map,om ref,2,900,1025,1825,1195.28,315.0,4.17,1156.42,4.18,848.30,4.71,331.057,1.739,2.377
clang++ 22.1,64,clflush,main,use,flat_map,om vptr,1,425,525,850,566.91,137.5,1.82,528.05,1.83,261.35,2.27,101.993,1.134,1.314
clang++ 22.1,64,clflush,main,use,flat_map,om ref,1,650,750,1100,791.31,139.3,1.85,752.46,1.85,485.75,2.28,189.568,1.616,2.442
clang++ 22.1,64,clflush,main,use,flat_map,om vptr,2,650,725,900,747.17,88.3,1.17,708.31,1.18,400.19,2.49,156.179,1.065,1.121
clang++ 22.1,64,clflush,main,use,flat_map,om ref,2,925,1025,1850,1193.07,319.7,4.23,1154.21,4.24,846.09,4.77,330.194,1.736,2.371
clang++ 22.1,64,clflush,main,use,indirect,om vptr,1,475,500,1300,636.31,273.5,3.62,597.45,3.63,330.75,3.87,129.076,1.283,1.663
clang++ 22.1,64,clflush,main,use,indirect,om ref,1,1075,1200,2025,1342.67,291.9,3.87,1303.82,3.87,1037.11,4.09,404.741,2.800,5.213
clang++ 22.1,64,clflush,main,use,indirect,om vptr,2,725,800,1400,854.81,181.2,2.40,815.96,2.41,507.84,3.25,198.188,1.227,1.423
clang++ 22.1,64,clflush,main,use,indirect,om ref,2,1350,1525,2375,1708.54,344.2,4.56,1669.69,4.56,1361.57,5.06,531.364,2.511,3.815
clang++ 22.1,64,clflush,inplace,use,yardstick,vf,1,400,525,1025,578.20,170.0,2.25,539.35,2.26,283.07,2.63,110.469,1.000,1.000
clang++ 22.1,64,clflush,inplace,use,yardstick,vf+vf,2,450,725,1450,806.56,319.8,4.24,767.70,4.24,480.57,4.78,187.545,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,use,yardstick,vf,1,450,550,1050,599.06,176.2,2.33,560.20,2.34,325.05,2.66,126.853,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,use,yardstick,vf+vf,2,425,550,1375,679.83,283.8,3.76,640.97,3.76,355.30,4.42,138.660,1.000,1.000
clang++ 22.1,64,clflush,inplace,use,inplace,om ref,1,450,550,1275,653.15,244.9,3.24,614.29,3.25,358.01,3.52,139.718,1.139,1.265
clang++ 22.1,64,clflush,inplace,use,inplace,om ref,2,625,800,1125,834.28,122.4,1.62,795.43,1.63,508.29,2.75,198.364,1.036,1.058
clang++ 22.1,64,clflush,inplace_ind,use,inplace_ind,om ref,1,650,775,1375,864.84,210.9,2.79,825.99,2.80,590.83,3.07,230.578,1.474,1.818
clang++ 22.1,64,clflush,inplace_ind,use,inplace_ind,om ref,2,675,925,1825,1108.97,327.8,4.34,1070.12,4.35,784.45,4.93,306.137,1.670,2.208
