compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 22.1,64,clflush,main,-,baseline,probe,0,25,50,50,38.82,12.4,0.16,0.00,0.23,-4.44,0.22,-1.770,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,direct,0,25,50,50,43.26,11.1,0.15,4.44,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch,1,225,275,325,288.31,95.6,1.27,249.49,1.28,0.00,1.79,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch+touch,2,225,275,825,338.98,168.4,2.23,300.16,2.24,0.00,3.15,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,const,yardstick,vf,1,425,500,1075,568.41,183.1,2.43,529.59,2.43,280.11,2.74,111.717,1.000,1.000
clang++ 22.1,64,clflush,main,const,yardstick,vf+vf,2,425,550,1375,674.27,286.4,3.79,635.45,3.80,335.29,4.40,133.726,1.000,1.000
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,1,425,475,1325,616.13,300.4,3.98,577.31,3.98,572.87,3.98,228.483,1.090,2.045
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,1,850,1050,1825,1168.54,280.7,3.72,1129.71,3.72,880.23,3.93,351.068,2.133,3.142
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,2,675,775,1350,896.31,247.0,3.27,857.49,3.28,853.05,3.28,340.230,1.349,2.544
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,2,1100,1375,2175,1527.90,357.0,4.73,1489.08,4.73,1188.92,5.23,474.187,2.343,3.546
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,1,425,525,1100,596.70,200.0,2.65,557.88,2.65,553.44,2.65,220.734,1.053,1.976
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,1,650,775,1425,856.61,223.4,2.96,817.79,2.96,568.30,3.22,226.659,1.544,2.029
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,2,650,775,1375,889.42,226.2,3.00,850.60,3.00,846.16,3.00,337.482,1.339,2.524
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,2,875,1075,1900,1228.57,316.6,4.19,1189.75,4.20,889.60,4.75,354.805,1.872,2.653
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,1,425,500,1300,628.54,273.6,3.62,589.71,3.63,585.28,3.63,233.430,1.114,2.089
clang++ 22.1,64,clflush,main,const,flat_map,om ref,1,650,750,1400,822.08,210.8,2.79,783.26,2.80,533.78,3.07,212.890,1.479,1.906
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,2,625,775,1475,856.51,234.7,3.11,817.69,3.11,813.25,3.11,324.357,1.287,2.426
clang++ 22.1,64,clflush,main,const,flat_map,om ref,2,875,1025,1900,1205.26,317.9,4.21,1166.44,4.21,866.28,4.76,345.506,1.836,2.584
clang++ 22.1,64,clflush,main,const,indirect,om vptr,1,425,525,925,554.21,129.0,1.71,515.39,1.72,510.95,1.71,203.785,0.973,1.824
clang++ 22.1,64,clflush,main,const,indirect,om ref,1,1050,1325,2100,1452.79,305.4,4.05,1413.97,4.05,1164.48,4.24,464.440,2.670,4.157
clang++ 22.1,64,clflush,main,const,indirect,om vptr,2,725,800,1175,851.02,157.6,2.09,812.20,2.09,807.76,2.09,322.167,1.278,2.409
clang++ 22.1,64,clflush,main,const,indirect,om ref,2,1400,1550,2350,1669.47,264.1,3.50,1630.65,3.50,1330.50,4.15,530.652,2.566,3.968
clang++ 22.1,64,clflush,inplace,-,baseline,touch,1,225,275,400,299.86,107.0,1.42,261.04,1.43,0.00,2.00,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace,-,baseline,touch+touch,2,250,300,800,351.38,163.6,2.17,312.56,2.17,0.00,3.06,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace,const,yardstick,vf,1,425,525,1100,598.48,180.2,2.39,559.66,2.39,298.62,2.78,119.102,1.000,1.000
clang++ 22.1,64,clflush,inplace,const,yardstick,vf+vf,2,450,550,1350,659.83,271.9,3.60,621.01,3.60,308.45,4.20,123.022,1.000,1.000
clang++ 22.1,64,clflush,inplace,const,inplace,om ref,1,450,575,1275,700.91,253.5,3.36,662.09,3.36,401.05,3.64,159.955,1.183,1.343
clang++ 22.1,64,clflush,inplace,const,inplace,om ref,2,675,800,1350,899.84,215.8,2.86,861.02,2.86,548.46,3.59,218.745,1.386,1.778
clang++ 22.1,64,clflush,inplace_ind,-,baseline,touch,1,225,275,325,292.27,94.5,1.25,253.45,1.26,0.00,1.77,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace_ind,-,baseline,touch+touch,2,225,300,825,346.16,167.4,2.22,307.34,2.22,0.00,3.14,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace_ind,const,yardstick,vf,1,425,525,1050,572.38,171.6,2.27,533.56,2.28,280.11,2.59,111.718,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,const,yardstick,vf+vf,2,425,550,1450,716.46,312.5,4.14,677.64,4.14,370.29,4.70,147.687,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,const,inplace_ind,om ref,1,700,775,1475,869.11,235.4,3.12,830.29,3.12,576.85,3.36,230.068,1.556,2.059
clang++ 22.1,64,clflush,inplace_ind,const,inplace_ind,om ref,2,775,1050,1875,1220.32,311.8,4.13,1181.50,4.13,874.16,4.69,348.649,1.744,2.361
clang++ 22.1,64,clflush,main,use,yardstick,vf,1,425,525,1125,613.82,218.3,2.89,575.00,2.90,325.51,3.16,129.825,1.000,1.000
clang++ 22.1,64,clflush,main,use,yardstick,vf+vf,2,450,525,1375,647.47,284.7,3.77,608.65,3.77,308.50,4.38,123.040,1.000,1.000
clang++ 22.1,64,clflush,main,use,vptr_vector,om vptr,1,425,525,925,619.59,185.0,2.45,580.77,2.46,331.28,2.76,132.127,1.010,1.018
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,1,850,975,1775,1124.32,289.1,3.83,1085.50,3.83,836.01,4.03,333.432,1.888,2.568
clang++ 22.1,64,clflush,main,use,vptr_vector,om vptr,2,675,725,1475,858.70,245.1,3.25,819.88,3.25,519.72,3.94,207.284,1.347,1.685
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,2,1050,1325,2150,1489.45,370.9,4.91,1450.63,4.92,1150.47,5.40,458.851,2.383,3.729
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,1,425,500,1225,609.15,247.3,3.28,570.33,3.28,320.85,3.51,127.966,0.992,0.986
clang++ 22.1,64,clflush,main,use,vptr_map,om ref,1,650,750,1325,809.67,187.3,2.48,770.85,2.49,521.36,2.79,207.940,1.341,1.602
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,2,625,725,1000,754.39,120.4,1.59,715.57,1.60,415.41,2.74,165.680,1.176,1.347
clang++ 22.1,64,clflush,main,use,vptr_map,om ref,2,875,1125,1925,1259.51,321.8,4.26,1220.69,4.27,920.54,4.81,367.144,2.006,2.984
clang++ 22.1,64,clflush,main,use,flat_map,om vptr,1,425,475,1175,578.92,234.7,3.11,540.10,3.11,290.61,3.36,115.906,0.939,0.893
clang++ 22.1,64,clflush,main,use,flat_map,om ref,1,625,800,1450,864.37,221.7,2.94,825.55,2.94,576.07,3.20,229.757,1.436,1.770
clang++ 22.1,64,clflush,main,use,flat_map,om vptr,2,625,725,1725,894.07,433.3,5.74,855.25,5.74,555.09,6.16,221.390,1.405,1.799
clang++ 22.1,64,clflush,main,use,flat_map,om ref,2,950,1200,1950,1307.14,317.9,4.21,1268.32,4.21,968.16,4.77,386.138,2.084,3.138
clang++ 22.1,64,clflush,main,use,indirect,om vptr,1,450,550,950,591.68,132.9,1.76,552.86,1.77,303.38,2.17,120.998,0.962,0.932
clang++ 22.1,64,clflush,main,use,indirect,om ref,1,1050,1250,2100,1420.43,322.5,4.27,1381.61,4.27,1132.12,4.46,451.532,2.403,3.478
clang++ 22.1,64,clflush,main,use,indirect,om vptr,2,650,775,1225,832.66,180.2,2.39,793.84,2.39,493.68,3.27,196.900,1.304,1.600
clang++ 22.1,64,clflush,main,use,indirect,om ref,2,1275,1550,2200,1645.57,260.6,3.45,1606.75,3.46,1306.60,4.11,521.120,2.640,4.235
clang++ 22.1,64,clflush,inplace,use,yardstick,vf,1,425,525,1075,598.57,184.7,2.45,559.75,2.45,298.71,2.83,119.139,1.000,1.000
clang++ 22.1,64,clflush,inplace,use,yardstick,vf+vf,2,450,575,1350,694.86,265.4,3.52,656.04,3.52,343.48,4.13,136.992,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,use,yardstick,vf,1,475,550,1000,607.51,157.0,2.08,568.69,2.09,315.24,2.43,125.730,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,use,yardstick,vf+vf,2,450,700,1450,794.75,310.5,4.11,755.93,4.12,448.58,4.67,178.912,1.000,1.000
clang++ 22.1,64,clflush,inplace,use,inplace,om ref,1,450,525,1325,677.11,295.2,3.91,638.29,3.91,377.25,4.16,150.460,1.140,1.263
clang++ 22.1,64,clflush,inplace,use,inplace,om ref,2,650,850,1550,967.86,291.8,3.86,929.04,3.87,616.48,4.43,245.875,1.416,1.795
clang++ 22.1,64,clflush,inplace_ind,use,inplace_ind,om ref,1,700,775,1475,882.79,230.7,3.06,843.96,3.06,590.52,3.30,235.521,1.484,1.873
clang++ 22.1,64,clflush,inplace_ind,use,inplace_ind,om ref,2,775,1075,1800,1208.37,284.5,3.77,1169.55,3.77,862.21,4.37,343.882,1.547,1.922
