compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,32,warm,main,-,baseline,ovh,0,25,50,50,38.80,12.4,0.16,0.00,0.23,0.00,0.23,0.000,0.000,0.000
g++ 13.3,32,warm,main,-,baseline,nvf,1,25,50,50,43.03,11.2,0.15,4.22,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,main,-,baseline,nvf+nvf,2,25,50,50,42.92,11.3,0.15,4.11,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,main,const,yardstick,vf,1,25,50,75,54.22,9.5,0.13,15.42,0.21,11.19,0.19,4.486,1.000,1.000
g++ 13.3,32,warm,main,const,yardstick,vf+vf,2,25,50,75,61.31,12.5,0.17,22.50,0.23,18.39,0.22,7.370,1.000,1.000
g++ 13.3,32,warm,main,const,vptr_vector,om vptr,1,25,50,75,55.59,10.8,0.14,16.79,0.22,16.79,0.22,6.727,1.089,1.500
g++ 13.3,32,warm,main,const,vptr_vector,om ref,1,50,50,75,61.14,12.4,0.16,22.34,0.23,18.12,0.22,7.261,1.449,1.619
g++ 13.3,32,warm,main,const,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,11.20,0.16,11.20,0.16,4.487,0.498,0.609
g++ 13.3,32,warm,main,const,vptr_vector,om ref,2,50,50,75,56.97,11.2,0.15,18.17,0.22,14.06,0.21,5.633,0.807,0.764
g++ 13.3,32,warm,main,const,vptr_map,om vptr,1,25,50,75,53.62,9.8,0.13,14.82,0.21,14.82,0.21,5.938,0.961,1.324
g++ 13.3,32,warm,main,const,vptr_map,om ref,1,50,75,75,67.36,11.5,0.15,28.56,0.22,24.33,0.21,9.752,1.852,2.174
g++ 13.3,32,warm,main,const,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,11.20,0.16,11.20,0.16,4.487,0.498,0.609
g++ 13.3,32,warm,main,const,vptr_map,om ref,2,50,75,75,67.68,11.4,0.15,28.88,0.22,24.76,0.21,9.924,1.283,1.347
g++ 13.3,32,warm,main,const,flat_map,om vptr,1,25,50,75,53.02,9.8,0.13,14.21,0.21,14.21,0.21,5.697,0.922,1.270
g++ 13.3,32,warm,main,const,flat_map,om ref,1,50,75,75,67.92,11.3,0.15,29.11,0.22,24.89,0.21,9.975,1.888,2.224
g++ 13.3,32,warm,main,const,flat_map,om vptr,2,50,50,50,50.00,0.0,0.00,11.20,0.16,11.20,0.16,4.487,0.498,0.609
g++ 13.3,32,warm,main,const,flat_map,om ref,2,50,75,75,70.39,9.7,0.13,31.59,0.21,27.48,0.20,11.012,1.404,1.494
g++ 13.3,32,warm,main,const,indirect,om vptr,1,25,50,75,57.39,11.4,0.15,18.59,0.22,18.59,0.22,7.451,1.206,1.661
g++ 13.3,32,warm,main,const,indirect,om ref,1,50,75,75,65.73,12.1,0.16,26.93,0.23,22.70,0.22,9.098,1.747,2.028
g++ 13.3,32,warm,main,const,indirect,om vptr,2,50,50,75,52.32,7.2,0.10,13.51,0.19,13.51,0.19,5.416,0.600,0.735
g++ 13.3,32,warm,main,const,indirect,om ref,2,50,50,75,59.46,12.1,0.16,20.66,0.23,16.54,0.22,6.630,0.918,0.900
g++ 13.3,32,warm,inplace,-,baseline,nvf,1,25,50,50,43.25,11.1,0.15,4.44,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,inplace,-,baseline,nvf+nvf,2,25,50,50,43.03,11.2,0.15,4.23,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,inplace,const,yardstick,vf,1,25,50,75,54.57,9.7,0.13,15.76,0.21,11.32,0.20,4.537,1.000,1.000
g++ 13.3,32,warm,inplace,const,yardstick,vf+vf,2,25,50,75,61.30,12.5,0.16,22.50,0.23,18.27,0.22,7.323,1.000,1.000
g++ 13.3,32,warm,inplace,const,inplace,om ref,1,25,50,75,53.27,9.6,0.13,14.47,0.21,10.03,0.19,4.018,0.918,0.886
g++ 13.3,32,warm,inplace,const,inplace,om ref,2,50,50,50,50.00,0.0,0.00,11.20,0.16,6.97,0.15,2.793,0.498,0.381
g++ 13.3,32,warm,inplace_ind,-,baseline,nvf,1,25,50,50,43.07,11.2,0.15,4.27,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,inplace_ind,-,baseline,nvf+nvf,2,25,50,50,43.06,11.2,0.15,4.26,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,inplace_ind,const,yardstick,vf,1,25,50,75,53.42,8.9,0.12,14.62,0.20,10.35,0.19,4.146,1.000,1.000
g++ 13.3,32,warm,inplace_ind,const,yardstick,vf+vf,2,25,50,75,60.84,12.4,0.16,22.04,0.23,17.78,0.22,7.126,1.000,1.000
g++ 13.3,32,warm,inplace_ind,const,inplace_ind,om ref,1,25,50,75,59.21,12.1,0.16,20.41,0.23,16.14,0.22,6.468,1.396,1.560
g++ 13.3,32,warm,inplace_ind,const,inplace_ind,om ref,2,50,50,50,51.12,5.2,0.07,12.32,0.18,8.06,0.16,3.229,0.559,0.453
g++ 13.3,32,warm,main,use,yardstick,vf,1,25,50,75,55.00,11.4,0.15,16.19,0.22,11.97,0.21,4.797,1.000,1.000
g++ 13.3,32,warm,main,use,yardstick,vf+vf,2,25,50,75,61.22,12.5,0.16,22.42,0.23,18.30,0.22,7.335,1.000,1.000
g++ 13.3,32,warm,main,use,vptr_vector,om vptr,1,25,50,75,57.81,11.9,0.16,19.01,0.23,14.79,0.22,5.925,1.174,1.235
g++ 13.3,32,warm,main,use,vptr_vector,om ref,1,50,75,75,63.98,12.4,0.16,25.18,0.23,20.96,0.22,8.398,1.555,1.751
