compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 15.2,64,clflush,main,-,baseline,probe,0,28,32,32,31.93,0.4,0.00,0.00,0.01,-1.96,0.02,-0.981,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,direct,0,30,34,36,33.89,1.1,0.02,1.96,0.02,0.00,0.02,0.000,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,touch,1,164,216,230,207.44,21.9,0.29,175.51,0.29,0.00,0.41,0.000,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,touch+touch,2,170,222,310,229.00,43.7,0.58,197.07,0.58,0.00,0.82,0.000,0.000,0.000
g++ 15.2,64,clflush,main,const,yardstick,vf,1,306,374,476,382.80,44.0,0.58,350.87,0.58,175.36,0.65,87.822,1.000,1.000
g++ 15.2,64,clflush,main,const,yardstick,vf+vf,2,320,414,588,427.66,67.0,0.89,395.73,0.89,198.66,1.06,99.493,1.000,1.000
g++ 15.2,64,clflush,main,const,vptr_vector,om vptr,1,384,424,472,430.11,27.5,0.36,398.18,0.36,396.22,0.36,198.433,1.135,2.259
g++ 15.2,64,clflush,main,const,vptr_vector,om ref,1,752,812,1036,837.78,72.1,0.95,805.85,0.95,630.33,1.00,315.679,2.297,3.595
g++ 15.2,64,clflush,main,const,vptr_vector,om vptr,2,576,730,892,739.36,80.3,1.06,707.43,1.06,705.47,1.06,353.310,1.788,3.551
g++ 15.2,64,clflush,main,const,vptr_vector,om ref,2,944,1018,1284,1061.53,101.5,1.34,1029.60,1.34,832.53,1.46,416.944,2.602,4.191
g++ 15.2,64,clflush,main,const,vptr_map,om vptr,1,392,428,532,438.49,38.2,0.51,406.56,0.51,404.60,0.51,202.628,1.159,2.307
g++ 15.2,64,clflush,main,const,vptr_map,om ref,1,582,638,792,653.58,53.5,0.71,621.65,0.71,446.14,0.77,223.431,1.772,2.544
g++ 15.2,64,clflush,main,const,vptr_map,om vptr,2,566,606,736,620.17,52.4,0.69,588.24,0.69,586.28,0.69,293.616,1.486,2.951
g++ 15.2,64,clflush,main,const,vptr_map,om ref,2,774,850,1070,879.19,82.1,1.09,847.26,1.09,650.19,1.23,325.626,2.141,3.273
g++ 15.2,64,clflush,main,const,flat_map,om vptr,1,390,422,446,425.59,26.3,0.35,393.66,0.35,391.70,0.35,196.168,1.122,2.234
g++ 15.2,64,clflush,main,const,flat_map,om ref,1,566,632,762,643.90,46.3,0.61,611.96,0.61,436.45,0.68,218.581,1.744,2.489
g++ 15.2,64,clflush,main,const,flat_map,om vptr,2,534,602,746,620.98,54.8,0.73,589.05,0.73,587.09,0.73,294.024,1.489,2.955
g++ 15.2,64,clflush,main,const,flat_map,om ref,2,782,836,1052,861.41,71.9,0.95,829.48,0.95,632.41,1.11,316.722,2.096,3.183
g++ 15.2,64,clflush,main,const,indirect,om vptr,1,396,432,466,434.34,17.9,0.24,402.41,0.24,400.45,0.24,200.553,1.147,2.284
g++ 15.2,64,clflush,main,const,indirect,om ref,1,794,1006,1226,1030.85,73.4,0.97,998.92,0.97,823.40,1.01,412.372,2.847,4.696
g++ 15.2,64,clflush,main,const,indirect,om vptr,2,586,620,748,634.05,48.9,0.65,602.12,0.65,600.16,0.65,300.571,1.522,3.021
g++ 15.2,64,clflush,main,const,indirect,om ref,2,1116,1212,1482,1247.49,96.1,1.27,1215.56,1.27,1018.49,1.40,510.073,3.072,5.127
g++ 15.2,64,clflush,inplace,-,baseline,touch,1,164,210,228,199.61,24.7,0.33,167.68,0.33,0.00,0.46,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace,-,baseline,touch+touch,2,166,218,340,224.27,51.2,0.68,192.34,0.68,0.00,0.96,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace,const,yardstick,vf,1,304,368,480,373.66,45.9,0.61,341.73,0.61,174.05,0.69,87.164,1.000,1.000
g++ 15.2,64,clflush,inplace,const,yardstick,vf+vf,2,314,400,572,412.65,64.9,0.86,380.72,0.86,188.38,1.10,94.343,1.000,1.000
g++ 15.2,64,clflush,inplace,const,inplace,om ref,1,320,416,534,419.66,47.9,0.63,387.73,0.63,220.04,0.71,110.201,1.135,1.264
g++ 15.2,64,clflush,inplace,const,inplace,om ref,2,504,614,814,636.79,74.1,0.98,604.86,0.98,412.52,1.19,206.593,1.589,2.190
g++ 15.2,64,clflush,inplace_ind,-,baseline,touch,1,162,204,228,198.14,25.7,0.34,166.21,0.34,0.00,0.48,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace_ind,-,baseline,touch+touch,2,168,218,324,221.33,47.9,0.63,189.40,0.63,0.00,0.90,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace_ind,const,yardstick,vf,1,306,374,480,380.41,43.7,0.58,348.48,0.58,182.27,0.67,91.283,1.000,1.000
g++ 15.2,64,clflush,inplace_ind,const,yardstick,vf+vf,2,310,406,568,417.13,63.1,0.84,385.20,0.84,195.80,1.05,98.060,1.000,1.000
g++ 15.2,64,clflush,inplace_ind,const,inplace_ind,om ref,1,540,604,654,609.89,29.5,0.39,577.96,0.39,411.75,0.52,206.209,1.659,2.259
g++ 15.2,64,clflush,inplace_ind,const,inplace_ind,om ref,2,744,796,998,818.95,65.7,0.87,787.01,0.87,597.61,1.08,299.293,2.043,3.052
