compiler,bits,mode,hier,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,64,warm,main,baseline,ovh,0,25,50,50,39.03,12.4,0.16,0.00,0.23,0.00,0.00,0.000,0.000,0.000
g++ 13.3,64,warm,main,baseline,nvf,1,25,50,50,42.61,11.4,0.15,3.59,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,baseline,nvf+nvf,2,25,50,50,42.79,11.3,0.15,3.77,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,main,yardstick,vf,1,25,50,75,55.36,10.5,0.14,16.33,0.22,12.75,0.21,5.222,1.000,1.000
g++ 13.3,64,warm,main,yardstick,vf+vf,2,25,50,75,61.28,12.5,0.17,22.25,0.23,18.48,0.22,7.573,1.000,1.000
g++ 13.3,64,warm,main,vptr_vector,om vptr,1,25,50,75,55.08,10.6,0.14,16.06,0.22,12.47,0.21,5.109,0.983,0.978
g++ 13.3,64,warm,main,vptr_vector,om ref,1,50,50,75,59.94,12.2,0.16,20.92,0.23,17.33,0.22,7.100,1.281,1.360
g++ 13.3,64,warm,main,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,10.97,0.16,7.21,0.15,2.953,0.493,0.390
g++ 13.3,64,warm,main,vptr_vector,om ref,2,50,50,75,55.78,10.5,0.14,16.75,0.22,12.98,0.20,5.319,0.753,0.702
g++ 13.3,64,warm,main,vptr_map,om vptr,1,25,50,75,54.69,10.2,0.14,15.66,0.21,12.07,0.20,4.947,0.959,0.947
g++ 13.3,64,warm,main,vptr_map,om ref,1,50,75,75,69.09,10.6,0.14,30.06,0.22,26.47,0.21,10.847,1.840,2.077
g++ 13.3,64,warm,main,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,10.97,0.16,7.21,0.15,2.953,0.493,0.390
g++ 13.3,64,warm,main,vptr_map,om ref,2,50,75,75,70.55,9.6,0.13,31.53,0.21,27.76,0.20,11.373,1.417,1.502
g++ 13.3,64,warm,main,flat_map,om vptr,1,25,50,75,54.33,9.9,0.13,15.31,0.21,11.72,0.20,4.802,0.937,0.919
g++ 13.3,64,warm,main,flat_map,om ref,1,50,75,75,69.63,10.3,0.14,30.60,0.21,27.01,0.20,11.068,1.874,2.119
g++ 13.3,64,warm,main,flat_map,om vptr,2,50,50,50,50.00,0.0,0.00,10.97,0.16,7.21,0.15,2.953,0.493,0.390
g++ 13.3,64,warm,main,flat_map,om ref,2,50,75,75,68.70,10.9,0.14,29.68,0.22,25.91,0.21,10.615,1.334,1.402
g++ 13.3,64,warm,main,indirect,om vptr,1,50,50,75,59.13,12.0,0.16,20.10,0.23,16.51,0.22,6.766,1.231,1.296
g++ 13.3,64,warm,main,indirect,om ref,1,50,75,75,66.95,11.7,0.15,27.92,0.23,24.33,0.22,9.970,1.709,1.909
g++ 13.3,64,warm,main,indirect,om vptr,2,50,50,50,51.12,5.2,0.07,12.10,0.18,8.33,0.16,3.413,0.544,0.451
g++ 13.3,64,warm,main,indirect,om ref,2,50,50,75,57.92,11.6,0.15,18.89,0.23,15.13,0.22,6.198,0.849,0.818
g++ 13.3,64,warm,inplace,baseline,nvf,1,25,50,50,42.47,11.5,0.15,3.45,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,inplace,baseline,nvf+nvf,2,25,50,50,43.11,11.2,0.15,4.09,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,warm,inplace,yardstick,vf,1,25,50,75,56.35,11.0,0.15,17.32,0.22,13.88,0.21,5.686,1.000,1.000
g++ 13.3,64,warm,inplace,yardstick,vf+vf,2,25,50,75,57.78,11.7,0.16,18.75,0.23,14.67,0.21,6.009,1.000,1.000
