compiler,bits,mode,hier,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 18.1,32,warm,main,baseline,ovh,0,25,50,50,38.99,12.4,0.16,0.00,0.23,0.00,0.00,0.000,0.000,0.000
clang++ 18.1,32,warm,main,baseline,nvf,1,25,50,50,42.54,11.4,0.15,3.55,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,32,warm,main,baseline,nvf+nvf,2,25,50,50,43.17,11.1,0.15,4.18,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,32,warm,main,yardstick,vf,1,25,50,75,57.74,11.7,0.15,18.75,0.23,15.20,0.22,6.227,1.000,1.000
clang++ 18.1,32,warm,main,yardstick,vf+vf,2,50,75,75,68.89,10.7,0.14,29.90,0.22,25.72,0.20,10.540,1.000,1.000
clang++ 18.1,32,warm,main,vptr_vector,om vptr,1,50,50,75,57.61,11.5,0.15,18.61,0.22,15.07,0.21,6.173,0.993,0.991
clang++ 18.1,32,warm,main,vptr_vector,om ref,1,50,75,75,62.83,12.5,0.17,23.84,0.23,20.29,0.22,8.315,1.272,1.335
clang++ 18.1,32,warm,main,vptr_vector,om vptr,2,50,50,75,57.96,11.6,0.15,18.96,0.23,14.79,0.21,6.058,0.634,0.575
clang++ 18.1,32,warm,main,vptr_vector,om ref,2,50,50,75,56.69,11.1,0.15,17.70,0.22,13.52,0.21,5.538,0.592,0.525
clang++ 18.1,32,warm,main,vptr_map,om vptr,1,50,50,75,56.77,11.1,0.15,17.78,0.22,14.23,0.21,5.831,0.949,0.937
clang++ 18.1,32,warm,main,vptr_map,om ref,1,50,75,75,69.70,10.2,0.14,30.71,0.21,27.16,0.20,11.129,1.638,1.787
clang++ 18.1,32,warm,main,vptr_map,om vptr,2,50,50,75,57.93,11.6,0.15,18.93,0.23,14.75,0.21,6.045,0.633,0.574
clang++ 18.1,32,warm,main,vptr_map,om ref,2,50,75,75,70.43,9.7,0.13,31.44,0.21,27.26,0.20,11.168,1.051,1.060
clang++ 18.1,32,warm,main,flat_map,om vptr,1,50,50,75,56.78,11.1,0.15,17.79,0.22,14.24,0.21,5.835,0.949,0.937
clang++ 18.1,32,warm,main,flat_map,om ref,1,50,75,75,74.30,7.0,0.09,35.31,0.19,31.76,0.18,13.012,1.883,2.090
clang++ 18.1,32,warm,main,flat_map,om vptr,2,50,50,75,58.16,11.7,0.16,19.17,0.23,14.99,0.21,6.140,0.641,0.583
clang++ 18.1,32,warm,main,flat_map,om ref,2,50,75,75,74.54,3.4,0.04,35.54,0.17,31.36,0.15,12.851,1.189,1.219
clang++ 18.1,32,warm,main,indirect,om vptr,1,50,50,75,61.73,12.5,0.17,22.74,0.23,19.19,0.22,7.864,1.213,1.263
clang++ 18.1,32,warm,main,indirect,om ref,1,50,75,75,68.53,11.0,0.15,29.54,0.22,25.99,0.21,10.647,1.576,1.710
clang++ 18.1,32,warm,main,indirect,om vptr,2,50,50,75,59.76,12.2,0.16,20.77,0.23,16.59,0.22,6.798,0.695,0.645
clang++ 18.1,32,warm,main,indirect,om ref,2,50,50,75,58.71,11.9,0.16,19.72,0.23,15.54,0.22,6.369,0.660,0.604
clang++ 18.1,32,warm,inplace,baseline,nvf,1,25,50,50,42.59,11.4,0.15,3.60,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,32,warm,inplace,baseline,nvf+nvf,2,25,50,50,43.04,11.2,0.15,4.04,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,32,warm,inplace,yardstick,vf,1,25,50,75,55.56,10.9,0.14,16.57,0.22,12.97,0.21,5.314,1.000,1.000
clang++ 18.1,32,warm,inplace,yardstick,vf+vf,2,50,75,100,73.58,11.4,0.15,34.59,0.22,30.55,0.21,12.516,1.000,1.000
