compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,64,clflush,main,-,baseline,probe,0,25,50,50,38.58,12.5,0.16,0.00,0.23,-4.40,0.22,-1.771,0.000,0.000
g++ 13.3,64,clflush,main,-,baseline,direct,0,25,50,50,42.98,11.2,0.15,4.40,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,64,clflush,main,-,baseline,touch,1,225,275,325,286.47,106.8,1.42,247.89,1.42,0.00,2.00,0.000,0.000,0.000
g++ 13.3,64,clflush,main,-,baseline,touch+touch,2,225,300,800,354.62,169.4,2.24,316.04,2.25,0.00,3.17,0.000,0.000,0.000
g++ 13.3,64,clflush,main,const,yardstick,vf,1,425,500,1025,549.76,179.5,2.38,511.18,2.38,263.29,2.77,105.876,1.000,1.000
g++ 13.3,64,clflush,main,const,yardstick,vf+vf,2,475,575,1375,717.05,292.0,3.87,678.47,3.87,362.43,4.47,145.741,1.000,1.000
g++ 13.3,64,clflush,main,const,vptr_vector,om vptr,1,425,550,1100,633.57,194.6,2.58,594.99,2.58,590.58,2.58,237.490,1.164,2.243
g++ 13.3,64,clflush,main,const,vptr_vector,om ref,1,900,1050,1750,1153.30,239.6,3.17,1114.72,3.18,866.83,3.48,348.576,2.181,3.292
g++ 13.3,64,clflush,main,const,vptr_vector,om vptr,2,650,775,1325,866.07,188.7,2.50,827.49,2.50,823.08,2.50,330.984,1.220,2.271
g++ 13.3,64,clflush,main,const,vptr_vector,om ref,2,1050,1325,2175,1497.79,309.7,4.10,1459.21,4.11,1143.17,4.68,459.699,2.151,3.154
g++ 13.3,64,clflush,main,const,vptr_map,om vptr,1,475,550,850,580.69,104.8,1.39,542.11,1.40,537.71,1.40,216.226,1.061,2.042
g++ 13.3,64,clflush,main,const,vptr_map,om ref,1,650,775,1400,835.14,213.1,2.82,796.57,2.83,548.68,3.16,220.637,1.558,2.084
g++ 13.3,64,clflush,main,const,vptr_map,om vptr,2,625,775,1425,874.43,245.5,3.25,835.85,3.26,831.44,3.25,334.346,1.232,2.294
g++ 13.3,64,clflush,main,const,vptr_map,om ref,2,850,1025,1825,1185.55,297.5,3.94,1146.97,3.94,830.93,4.53,334.140,1.691,2.293
g++ 13.3,64,clflush,main,const,flat_map,om vptr,1,450,500,1075,588.78,189.6,2.51,550.20,2.52,545.79,2.52,219.479,1.076,2.073
g++ 13.3,64,clflush,main,const,flat_map,om ref,1,650,750,1425,826.42,226.1,2.99,787.84,3.00,539.95,3.31,217.129,1.541,2.051
g++ 13.3,64,clflush,main,const,flat_map,om vptr,2,650,800,1450,882.74,233.7,3.10,844.16,3.10,839.76,3.10,337.690,1.244,2.317
g++ 13.3,64,clflush,main,const,flat_map,om ref,2,850,1025,1800,1169.55,299.5,3.97,1130.97,3.97,814.93,4.56,327.704,1.667,2.249
g++ 13.3,64,clflush,main,const,indirect,om vptr,1,500,550,1200,652.75,216.0,2.86,614.18,2.87,609.77,2.87,245.206,1.201,2.316
g++ 13.3,64,clflush,main,const,indirect,om ref,1,1025,1300,2175,1479.58,325.4,4.31,1441.00,4.31,1193.11,4.54,479.784,2.819,4.532
g++ 13.3,64,clflush,main,const,indirect,om vptr,2,725,800,1575,952.71,277.5,3.68,914.14,3.68,909.73,3.68,365.828,1.347,2.510
g++ 13.3,64,clflush,main,const,indirect,om ref,2,1425,1650,2425,1823.54,367.5,4.87,1784.96,4.87,1468.92,5.36,590.692,2.631,4.053
g++ 13.3,64,clflush,inplace,-,baseline,touch,1,225,275,500,308.53,103.0,1.36,269.95,1.37,0.00,1.93,0.000,0.000,0.000
g++ 13.3,64,clflush,inplace,-,baseline,touch+touch,2,225,300,775,339.99,149.2,1.98,301.41,1.98,0.00,2.80,0.000,0.000,0.000
g++ 13.3,64,clflush,inplace,const,yardstick,vf,1,425,475,1000,533.52,171.8,2.28,494.94,2.28,224.99,2.65,90.473,1.000,1.000
g++ 13.3,64,clflush,inplace,const,yardstick,vf+vf,2,425,500,1400,664.28,314.8,4.17,625.70,4.17,324.29,4.61,130.404,1.000,1.000
g++ 13.3,64,clflush,inplace,const,inplace,om ref,1,425,500,1300,645.73,282.8,3.75,607.15,3.75,337.20,3.99,135.598,1.227,1.499
g++ 13.3,64,clflush,inplace,const,inplace,om ref,2,650,775,1250,866.56,171.1,2.27,827.98,2.27,526.57,3.01,211.748,1.323,1.624
g++ 13.3,64,clflush,inplace_ind,-,baseline,touch,1,225,275,325,274.01,93.9,1.24,235.43,1.25,0.00,1.76,0.000,0.000,0.000
g++ 13.3,64,clflush,inplace_ind,-,baseline,touch+touch,2,225,300,800,340.61,157.4,2.08,302.04,2.09,0.00,2.95,0.000,0.000,0.000
g++ 13.3,64,clflush,inplace_ind,const,yardstick,vf,1,425,525,1075,580.71,184.2,2.44,542.13,2.45,306.70,2.74,123.331,1.000,1.000
g++ 13.3,64,clflush,inplace_ind,const,yardstick,vf+vf,2,425,575,1375,694.94,290.0,3.84,656.36,3.84,354.33,4.37,142.485,1.000,1.000
g++ 13.3,64,clflush,inplace_ind,const,inplace_ind,om ref,1,725,775,1475,882.11,232.6,3.08,843.53,3.09,608.10,3.32,244.534,1.556,1.983
g++ 13.3,64,clflush,inplace_ind,const,inplace_ind,om ref,2,750,1000,1850,1170.33,300.1,3.98,1131.75,3.98,829.72,4.49,333.653,1.724,2.342
g++ 13.3,64,clflush,main,use,yardstick,vf,1,250,500,1100,557.32,202.6,2.68,518.74,2.69,270.85,3.03,108.915,1.000,1.000
g++ 13.3,64,clflush,main,use,yardstick,vf+vf,2,450,550,1375,695.90,300.7,3.98,657.32,3.99,341.28,4.57,137.237,1.000,1.000
