compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 18.1,64,warm,main,-,baseline,probe,0,25,50,50,41.68,11.8,0.16,0.00,0.22,-1.55,0.21,-0.632,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,direct,0,25,50,50,43.23,11.1,0.15,1.55,0.21,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,touch,1,25,50,50,43.06,11.2,0.15,1.38,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,-,baseline,touch+touch,2,25,50,50,43.31,11.1,0.15,1.63,0.21,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,const,yardstick,vf,1,25,50,50,48.44,6.0,0.08,6.76,0.18,5.39,0.17,2.194,1.000,1.000
clang++ 18.1,64,warm,main,const,yardstick,vf+vf,2,25,75,75,62.38,12.6,0.17,20.70,0.23,19.07,0.22,7.770,1.000,1.000
clang++ 18.1,64,warm,main,const,vptr_vector,om vptr,1,25,50,50,49.26,4.2,0.06,7.58,0.17,6.03,0.16,2.456,1.121,1.120
clang++ 18.1,64,warm,main,const,vptr_vector,om ref,1,50,50,75,55.89,10.6,0.14,14.21,0.21,12.83,0.20,5.226,2.101,2.382
clang++ 18.1,64,warm,main,const,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,8.32,0.16,6.77,0.15,2.757,0.402,0.355
clang++ 18.1,64,warm,main,const,vptr_vector,om ref,2,50,50,75,57.09,11.3,0.15,15.41,0.22,13.79,0.21,5.615,0.744,0.723
clang++ 18.1,64,warm,main,const,vptr_map,om vptr,1,25,50,50,49.32,4.1,0.05,7.64,0.17,6.08,0.16,2.478,1.129,1.129
clang++ 18.1,64,warm,main,const,vptr_map,om ref,1,50,75,75,64.53,12.3,0.16,22.85,0.23,21.47,0.22,8.747,3.379,3.987
clang++ 18.1,64,warm,main,const,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,8.32,0.16,6.77,0.15,2.757,0.402,0.355
clang++ 18.1,64,warm,main,const,vptr_map,om ref,2,50,75,75,69.81,10.1,0.13,28.13,0.21,26.50,0.20,10.796,1.359,1.390
clang++ 18.1,64,warm,main,const,flat_map,om vptr,1,25,50,50,49.07,4.7,0.06,7.39,0.17,5.83,0.16,2.376,1.092,1.083
clang++ 18.1,64,warm,main,const,flat_map,om ref,1,50,75,75,67.95,11.3,0.15,26.27,0.22,24.89,0.21,10.139,3.884,4.621
clang++ 18.1,64,warm,main,const,flat_map,om vptr,2,50,50,50,50.00,0.0,0.00,8.32,0.16,6.77,0.15,2.757,0.402,0.355
clang++ 18.1,64,warm,main,const,flat_map,om ref,2,50,75,75,71.31,8.9,0.12,29.63,0.20,28.00,0.19,11.407,1.431,1.468
clang++ 18.1,64,warm,main,const,indirect,om vptr,1,25,50,50,49.95,1.1,0.01,8.27,0.16,6.72,0.15,2.737,1.223,1.248
clang++ 18.1,64,warm,main,const,indirect,om ref,1,50,50,75,58.27,11.8,0.16,16.59,0.22,15.21,0.22,6.196,2.453,2.824
clang++ 18.1,64,warm,main,const,indirect,om vptr,2,50,50,75,51.38,5.7,0.08,9.70,0.17,8.15,0.17,3.319,0.469,0.427
clang++ 18.1,64,warm,main,const,indirect,om ref,2,50,50,75,58.66,11.9,0.16,16.98,0.22,15.36,0.22,6.255,0.820,0.805
clang++ 18.1,64,warm,inplace,-,baseline,touch,1,25,50,50,43.25,11.1,0.15,1.57,0.21,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace,-,baseline,touch+touch,2,25,50,50,43.21,11.1,0.15,1.54,0.21,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace,const,yardstick,vf,1,25,50,50,49.36,3.9,0.05,7.68,0.16,6.11,0.16,2.490,1.000,1.000
clang++ 18.1,64,warm,inplace,const,yardstick,vf+vf,2,25,50,75,60.56,12.6,0.17,18.88,0.23,17.35,0.22,7.066,1.000,1.000
clang++ 18.1,64,warm,inplace,const,inplace,om ref,1,25,50,50,49.23,4.3,0.06,7.55,0.17,5.99,0.16,2.439,0.983,0.979
clang++ 18.1,64,warm,inplace,const,inplace,om ref,2,50,50,50,50.00,0.0,0.00,8.32,0.16,6.79,0.15,2.764,0.441,0.391
clang++ 18.1,64,warm,inplace_ind,-,baseline,touch,1,25,50,50,43.14,11.2,0.15,1.46,0.21,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace_ind,-,baseline,touch+touch,2,25,50,50,43.46,11.0,0.15,1.78,0.21,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace_ind,const,yardstick,vf,1,25,50,50,49.29,4.1,0.05,7.61,0.17,6.16,0.16,2.508,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,const,yardstick,vf+vf,2,25,50,75,60.44,12.5,0.17,18.76,0.23,16.98,0.22,6.917,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,const,inplace_ind,om ref,1,25,50,75,51.73,6.5,0.09,10.05,0.18,8.60,0.17,3.502,1.320,1.396
clang++ 18.1,64,warm,inplace_ind,const,inplace_ind,om ref,2,50,50,50,51.14,5.2,0.07,9.46,0.17,7.68,0.16,3.130,0.504,0.452
clang++ 18.1,64,warm,main,use,yardstick,vf,1,25,50,75,54.33,12.2,0.16,12.65,0.22,11.27,0.22,4.591,1.000,1.000
clang++ 18.1,64,warm,main,use,yardstick,vf+vf,2,25,75,75,68.03,11.3,0.15,26.35,0.22,24.72,0.21,10.071,1.000,1.000
clang++ 18.1,64,warm,main,use,vptr_vector,om vptr,1,25,50,75,57.11,12.3,0.16,15.43,0.23,14.05,0.22,5.724,1.220,1.247
clang++ 18.1,64,warm,main,use,vptr_vector,om ref,1,50,75,75,64.56,12.3,0.16,22.88,0.23,21.50,0.22,8.759,1.809,1.908
clang++ 18.1,64,warm,main,use,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,8.32,0.16,6.69,0.15,2.726,0.316,0.271
clang++ 18.1,64,warm,main,use,vptr_vector,om ref,2,50,50,75,57.63,11.5,0.15,15.95,0.22,14.32,0.21,5.833,0.605,0.579
clang++ 18.1,64,warm,main,use,vptr_map,om vptr,1,25,50,75,56.46,12.4,0.16,14.78,0.23,13.40,0.22,5.458,1.168,1.189
clang++ 18.1,64,warm,main,use,vptr_map,om ref,1,50,75,75,72.16,7.9,0.11,30.48,0.19,29.10,0.18,11.854,2.410,2.582
clang++ 18.1,64,warm,main,use,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,8.32,0.16,6.69,0.15,2.726,0.316,0.271
clang++ 18.1,64,warm,main,use,vptr_map,om ref,2,50,75,75,69.46,10.4,0.14,27.78,0.21,26.15,0.20,10.653,1.054,1.058
clang++ 18.1,64,warm,main,use,flat_map,om vptr,1,25,50,75,56.84,12.3,0.16,15.16,0.23,13.78,0.22,5.613,1.198,1.223
clang++ 18.1,64,warm,main,use,flat_map,om ref,1,50,75,75,75.10,7.4,0.10,33.42,0.18,32.04,0.18,13.052,2.642,2.843
clang++ 18.1,64,warm,main,use,flat_map,om vptr,2,50,50,50,50.24,2.4,0.03,8.56,0.16,6.93,0.15,2.823,0.325,0.280
clang++ 18.1,64,warm,main,use,flat_map,om ref,2,50,75,75,71.75,8.4,0.11,30.07,0.19,28.44,0.18,11.586,1.141,1.150
clang++ 18.1,64,warm,main,use,indirect,om vptr,1,25,50,75,59.35,12.2,0.16,17.67,0.22,16.29,0.22,6.637,1.397,1.446
clang++ 18.1,64,warm,main,use,indirect,om ref,1,50,75,75,67.84,11.3,0.15,26.16,0.22,24.78,0.21,10.094,2.068,2.198
clang++ 18.1,64,warm,main,use,indirect,om vptr,2,50,50,75,51.68,6.3,0.08,10.00,0.18,8.37,0.17,3.409,0.379,0.338
clang++ 18.1,64,warm,main,use,indirect,om ref,2,50,50,75,58.69,11.9,0.16,17.01,0.22,15.39,0.22,6.267,0.646,0.622
clang++ 18.1,64,warm,inplace,use,yardstick,vf,1,25,50,75,55.92,12.0,0.16,14.24,0.22,12.68,0.22,5.163,1.000,1.000
clang++ 18.1,64,warm,inplace,use,yardstick,vf+vf,2,25,75,75,62.43,12.7,0.17,20.75,0.23,19.21,0.22,7.827,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,use,yardstick,vf,1,25,50,75,56.25,12.3,0.16,14.57,0.23,13.12,0.22,5.344,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,use,yardstick,vf+vf,2,25,75,75,61.84,12.7,0.17,20.16,0.23,18.38,0.22,7.487,1.000,1.000
clang++ 18.1,64,warm,inplace,use,inplace,om ref,1,25,50,75,56.54,12.3,0.16,14.86,0.23,13.30,0.22,5.417,1.044,1.049
clang++ 18.1,64,warm,inplace,use,inplace,om ref,2,50,50,50,50.00,0.0,0.00,8.32,0.16,6.79,0.15,2.764,0.401,0.353
clang++ 18.1,64,warm,inplace_ind,use,inplace_ind,om ref,1,25,50,75,60.59,12.4,0.16,18.91,0.23,17.45,0.22,7.109,1.297,1.330
clang++ 18.1,64,warm,inplace_ind,use,inplace_ind,om ref,2,50,50,75,51.42,5.8,0.08,9.74,0.17,7.96,0.16,3.243,0.483,0.433
clang++ 18.1,64,clflush,main,-,baseline,probe,0,25,50,50,41.27,11.9,0.16,0.00,0.22,-1.68,0.22,-0.682,0.000,0.000
clang++ 18.1,64,clflush,main,-,baseline,direct,0,25,50,50,42.94,11.3,0.15,1.68,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,clflush,main,-,baseline,touch,1,250,300,425,325.00,96.6,1.28,283.74,1.29,0.00,1.81,0.000,0.000,0.000
